Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Jordan Westburg,BAL,137.373,616.0,563.1634209705913,146.49230662648517,89.88438394125187,27.34605563060723,4.751718036648308,24.510479753368667,82.15435103398109,77.82086390245593,40.191604835636845,0.2628098098306142,141.7841283037168,7.887537635525998,3.73529349821608,1.0223969794589354,10.281037652845614,7.814487789670582,2.270605147389934,0.260125,0.0652461,0.230168,0.283471,0.316388,0.456126,0.332387,0.772515,0.196002,5.24483,0.304495,,-0.258706,77.2844,9.06248,114.957,-0.258706,0,9.919888287782669,1.541784405708313,3.20588,999,,,,,,,696.3,5.082481751,696.3,5.082481751,,,,,,,,,,,,,,,,,,,Jordan Westburg,27815,676059
Kyle Schwarber,PHI,151.793,686.0,572.6579282996303,132.10904474941137,66.36110237707364,22.536406049315925,0.6690949195877401,42.542858812827,99.17955605778353,111.3269918725993,102.01495843380808,3.936746312096384,190.86609946211985,7.427584245161851,3.33518329738973,0.5642470262225946,9.956858983677757,5.855338771583022,2.2862622798985086,0.230695,0.14871,0.27823,0.534485,0.352406,0.495257,0.363454,0.847663,0.264561,3.13363,0.261444,,-0.87521,106.144,27.303,132.952,-0.87521,0,25.184222757816315,-16.20616912841797,3.18986,999,,,,,,,938.5,6.174342105,938.5,6.174342105,,,,,,,,,,,,,,,,,,,Kyle Schwarber,16478,656941
Xander Bogaerts,SDP,137.166,609.0,542.306259125246,143.139290928712,98.80072155568253,26.55647125415265,1.882181859539982,15.900141771937621,76.5585211282507,65.98820859518821,47.73231924077954,1.4853548530438647,109.06326308216426,5.30507654626632,5.771629901182843,0.9531784051715018,12.31288061533253,17.198342643729237,5.713651685393258,0.263946,0.0783781,0.179086,0.437657,0.326355,0.407816,0.319559,0.734171,0.14387,5.07593,0.300721,,0.0998728,70.0029,2.99473,108.232,0.0998728,0,5.63300533592701,6.350277900695801,3.15645,999,,,,,,,628.1,4.584671532,628.1,4.584671532,,,,,,,,,,,,,,,,,,,Xander Bogaerts,12161,593428
Geraldo Perdomo,ARI,151.476,686.0,583.9731581687679,148.56870219544547,106.11295418200753,26.859659154301013,3.8436180222395775,11.752662179081904,85.17969398886781,58.442068627815594,75.52424845351878,1.2714156656377453,93.75033563910894,7.370671030284999,5.785454182007513,13.34696778112487,13.316671935239938,19.02898025214772,5.9722891950859704,0.254411,0.110094,0.136662,0.80559,0.344106,0.373945,0.318693,0.718051,0.119535,5.51366,0.282529,,0.113517,79.2055,2.9541,102.916,0.113517,0,2.343850716948509,7.012777805328369,3.154,999,,,,,,,685.1,4.537086092,685.1,4.537086092,,,,,,,,,,,,,,,,,,,Geraldo Perdomo,22799,672695
Austin Wells,NYY,120.447,481.0,430.57365398004174,93.287183801346,54.35679101879786,18.44579658853562,1.4483044209793454,19.03623810628916,53.79973021582733,57.0144755163611,40.51839173822232,0.8096529937340449,120.31547342770943,5.2209584590392195,3.794238802506382,0.8929201670921326,6.405158099326989,3.529082153631933,1.2075554072870736,0.216658,0.0842378,0.250136,0.336768,0.289574,0.398859,0.299117,0.688433,0.182201,3.68329,0.251684,,-0.413808,47.8793,-5.07146,91.7222,-0.413808,11.28,-4.785966157913208,19.978949546813965,3.13251,999,,,,,,,442.3,3.685833333,442.3,3.685833333,,,,,,,,,,,,,,,,,,,Austin Wells,27562,669224
Dansby Swanson,CHC,154.38,686.0,615.105954793428,150.85091764660936,95.73366136937804,29.418096637444823,1.6844693345728874,24.01414428598036,86.13278678346916,83.31838524761098,55.29984510882976,1.0325463949199518,177.46280303669474,4.000224265858835,4.865631989404362,1.203655718158562,11.119790888960702,16.27617812007011,4.809501212226373,0.245243,0.080612,0.258692,0.311614,0.309376,0.415668,0.314513,0.725045,0.170425,4.97826,0.303077,,0.246317,74.9682,0.743581,102.829,0.246317,0,2.352542906999588,7.147222518920898,3.11026,999,,,,,,,688.6,4.471428571,688.6,4.471428571,,,,,,,,,,,,,,,,,,,Dansby Swanson,18314,621020
Gabriel Moreno,ARI,112.297,450.0,402.24652492463895,110.50464983737585,77.46593590709023,20.703644108336746,1.7053458824391103,10.630125636019473,54.07823812019766,53.161958081653104,39.325264307147904,1.8708242446160077,76.74669315651057,4.025328624366841,3.728444003964321,0.6746544380025498,10.2581855677654,3.956072026129728,1.509771181765954,0.27472,0.0873895,0.170548,0.512403,0.342415,0.41395,0.329514,0.756365,0.13923,3.74416,0.313483,,-0.594474,57.4609,5.83813,110.328,-0.594474,3.26,4.7536633014678955,11.033645868301392,3.10242,999,,,,,,,502.4,4.485714285,502.4,4.485714285,,,,,,,,,,,,,,,,,,,Gabriel Moreno,22664,672515
Seiya Suzuki,CHC,143.508,630.0,552.4135258699403,140.5043850385539,82.21529580732475,28.149291147713573,1.8124595858340022,28.32728731994372,86.14236834323852,87.19908627429318,66.96637703857988,1.8366359491926914,159.00513727006575,4.577326637443908,5.265431793885316,0.7774328271882138,9.064467865254702,10.242405386172587,3.1710852279927604,0.254346,0.106296,0.252389,0.42116,0.337,0.465703,0.345428,0.802703,0.211356,4.43797,0.302897,,-0.247253,88.9038,16.1775,124.006,-0.247253,0,17.265368312597275,-7.431312561035156,3.10129,999,,,,,,,800.6,5.559722222,800.6,5.559722222,,,,,,,,,,,,,,,,,,,Seiya Suzuki,30116,673548
Brent Rooker,ATH,150.111,665.0,589.3449284607532,157.1763925957544,86.79054815745984,33.87868269596093,0.9142937698079519,35.5930166562692,93.55056373020378,98.9111845448334,61.850357813499194,2.5197631567015177,166.28873055556858,8.705246029028471,4.507924744245825,0.591548151205715,9.535972256750144,6.838578815126826,2.2428786748783187,0.266697,0.093008,0.250059,0.371944,0.342759,0.508468,0.363018,0.851227,0.241771,3.75025,0.310185,,-0.550994,101.516,25.9448,131.794,-0.550994,0,23.41598403453827,-15.142775535583496,3.09869,999,,,,,,,908.3,6.055333333,908.3,6.055333333,,,,,,,,,,,,,,,,,,,Brent Rooker,19627,667670
Patrick Bailey,SFG,128.678,525.0,475.6536147628129,101.53795648615355,69.82627579863983,20.629398214556932,0.7845519305736032,10.29765523482458,48.225631570953645,46.597327109033536,38.472859746527845,0.4375302706853199,139.4950702026765,3.805645324603001,3.9029249708895155,3.1651766879862295,8.369670988237678,1.8302726893025298,0.742686465312115,0.21347,0.0732817,0.265705,0.275801,0.275598,0.325088,0.266044,0.600686,0.111618,2.81408,0.276684,,-0.609752,37.9195,-18.0939,70.2274,-0.609752,21.91,-17.337596356868744,31.838857650756836,3.09733,999,,,,,,,346.6,2.686821705,346.6,2.686821705,,,,,,,,,,,,,,,,,,,Patrick Bailey,27478,672275
Rafael Devers,SFG,152.24,686.0,589.1903057503848,147.72577617482412,85.50219245694937,27.99402779659675,0.8847504746187445,33.34464461066038,88.9165109470604,95.91569674945154,85.36610849167913,9.766849582015793,163.87830577474375,6.806548140118719,4.068701683659565,0.5687536899989799,12.443693241764013,2.0018024398524457,0.8580830304958719,0.250727,0.12444,0.23889,0.52091,0.349996,0.471025,0.350802,0.821021,0.220298,2.32596,0.288815,,-1.01448,97.7414,20.1303,128.289,-1.01448,0,21.008607864379883,-12.705845832824707,3.08535,999,,,,,,,878.4,5.778947368,878.4,5.778947368,,,,,,,,,,,,,,,,,,,Rafael Devers,17350,646240
Nick Kurtz,ATH,142.395,616.0,530.9238886916495,133.38491485376397,70.1225860950259,24.903149982248454,2.396597578443495,35.96264583817931,89.53003195279314,94.30435219078636,75.73378059082063,3.8445473354308737,191.0439136662464,4.733219886634918,4.005910654603774,0.603292827148856,8.816321633632459,3.287554081020531,0.9938398932458409,0.251232,0.122945,0.310137,0.39642,0.347503,0.510374,0.365056,0.857876,0.259142,3.69659,0.316386,,-0.666688,91.7006,24.1402,133.197,-0.666688,0,21.705414712429047,-11.236979484558105,3.08454,999,,,,,,,814.6,5.736619718,814.6,5.736619718,,,,,,,,,,,,,,,,,,,Nick Kurtz,35110,701762
Trent Grisham,NYY,128.826,560.0,474.8623474902591,105.91334793125108,57.640597229195585,20.586042125237917,1.0929866996042528,26.593582897909393,73.32601528390532,70.11078254129767,72.83477689812703,0.5096114497564999,138.96861320417932,6.323301751177412,3.225677571833019,2.753564876417236,8.682026425158309,5.762285064115659,1.91021707880012,0.22304,0.130062,0.248158,0.524111,0.332118,0.439003,0.336115,0.771121,0.215963,3.67432,0.253802,,-0.495332,71.7004,9.80717,117.209,-0.495332,0,10.129233449697495,1.9880554676055908,3.08434,999,,,,,,,632.1,4.9,632.1,4.9,,,,,,,,,,,,,,,,,,,Trent Grisham,18564,663757
Bo Bichette,NYM,138.675,658.0,610.8171393309002,173.5144571236231,123.39264240976259,28.562464277935806,2.8066088293722817,18.753610155956096,80.5896592461572,78.92421576456768,37.85333724928556,1.226348330550367,106.41738715787668,3.979671654005821,4.497044820053196,0.7260573599002091,15.176706574179795,6.115380353359688,2.64462436558274,0.28407,0.0575279,0.161729,0.355706,0.327701,0.432129,0.328541,0.75983,0.148058,3.825,0.315747,,-0.868215,79.2319,7.6203,113.948,-0.868215,0,9.150543510913849,0.27319732308387756,3.0272,999,,,,,,,708.1,5.094244604,708.1,5.094244604,,,,,,,,,,,,,,,,,,,Bo Bichette,19612,666182
Gleyber Torres,DET,148.36,665.0,579.8223225231776,148.08581239839413,102.13880325012865,27.926251257040608,0.49681414369370863,17.524483767454964,78.45306891021858,72.30280711528262,73.5903778754558,0.0034048046885450747,115.07029197964815,4.231861946646397,6.017370845470955,1.3380982057564985,12.457610780883854,7.372841785210121,3.2841793078919332,0.255399,0.110662,0.173038,0.639525,0.340397,0.395948,0.324749,0.736345,0.140549,3.2744,0.28806,,-1.01131,81.1126,6.03269,108,-1.01131,0,4.980170130729675,2.289505958557129,2.98137,999,,,,,,,700.6,4.733783783,700.6,4.733783783,,,,,,,,,,,,,,,,,,,Gleyber Torres,16997,650402
Jazz Chisholm Jr.,NYY,140.631,616.0,546.7165868583895,127.63323408751013,75.35589369263067,21.575488111082148,2.8033269761123996,27.898884513535393,89.01205493736536,72.0972627361662,58.64711661155551,2.0433213506579038,166.53522769370088,5.122602938956958,4.213135985071965,1.3009590713883898,8.370774666245902,32.77922423610444,8.5470707846823,0.233455,0.0952063,0.270349,0.352161,0.311377,0.436264,0.322578,0.747641,0.202809,6.46581,0.279764,,2.0357,73.4015,4.50796,107.884,2.0357,0,7.453502655029297,1.5783500671386719,2.97729,999,,,,,,,699.6,4.961702127,699.6,4.961702127,,,,,,,,,,,,,,,,,,,Jazz Chisholm Jr.,20454,665862
Oneil Cruz,PIT,124.925,539.0,477.8471902151835,116.52458236830907,65.16010315411316,24.600902357835803,1.8781158876201585,24.885128904136753,78.77412926415576,70.78942833985025,53.788654587739714,2.802033760928117,162.57467891886478,3.743395402922892,3.1673982176170585,0.4529911169638267,7.253639946324435,25.0638211687334,5.9018049466998574,0.243852,0.0997935,0.301623,0.330855,0.323196,0.459428,0.335856,0.782624,0.215576,6.23882,0.31217,,1.73883,70.9886,9.61548,113.774,1.73883,0,10.218158841133118,1.326965093612671,2.94929,999,,,,,,,670.6,5.3648,670.6,5.3648,,,,,,,,,,,,,,,,,,,Oneil Cruz,21711,665833
Yainer Diaz,HOU,133.863,509.0,478.70099425236265,128.79050911697453,87.16408038748797,23.794067016051393,0.6479312515248544,17.184390029863504,58.076880842911144,64.91057062180016,22.180058213977023,1.039190243201277,89.31872341552258,3.323754914995867,4.1469706414696095,0.6477483446464134,11.555575246009845,1.4706098093766489,0.503728431229775,0.269041,0.0435758,0.175479,0.248325,0.303518,0.429148,0.314913,0.732666,0.160106,2.55271,0.296552,,-0.674272,63.2723,0.797705,102.051,-0.674272,1.11,0.6039513349533081,9.556192755699158,2.90143,999,,,,,,,579.8,4.326865671,579.8,4.326865671,,,,,,,,,,,,,,,,,,,Yainer Diaz,23003,673237
Hunter Goodman,COL,140.998,584.0,537.0120789477895,137.11125608613648,75.73752757537567,30.674614300265397,1.3369995502613994,29.362000465737207,73.22794778765939,91.80458946687311,35.7084115339286,0.39803737629966457,152.21711175382057,5.9848193846224955,4.812124952670789,0.4824198425381611,8.827784815189432,2.453593340313466,0.8679705696748194,0.255322,0.0611445,0.260646,0.234588,0.306425,0.481452,0.335974,0.787877,0.22613,3.05371,0.299099,,-0.613933,76.9375,10.468,102.085,-0.613933,4.61,0.7764389514923096,8.448376655578613,2.85871,999,,,,,,,699.1,4.958156028,699.1,4.958156028,,,,,,,,,,,,,,,,,,,Hunter Goodman,29715,696100
Randy Arozarena,SEA,151.825,679.0,588.3965433448758,136.79203875827713,83.26762909300771,25.66740447117429,2.7951981046108982,25.06166271793937,90.22953435392745,77.07347108316627,68.195033564182,0.8705191665147924,176.4405898791082,17.583113571471962,4.16377847639876,0.6618909407083409,11.193022750744182,24.68918413219124,7.69573551120831,0.232483,0.100435,0.259853,0.386505,0.328111,0.413386,0.32526,0.741497,0.180903,5.77396,0.285713,,0.655584,84.3245,6.52475,115.135,0.655584,0,12.400963962078094,-7.222170352935791,2.84851,999,,,,,,,764,5.026315789,764,5.026315789,,,,,,,,,,,,,,,,,,,Randy Arozarena,19290,668227
George Springer,TOR,132.432,595.0,522.255371444785,137.17543731385115,83.75601203189707,23.971289338228257,1.7068447081063864,27.74124980634425,86.06082618330193,79.2208528512219,59.23412762653772,0.9793704577934907,116.69901805654924,6.376255454999626,3.940597295260178,0.7271117441550778,11.294138279779904,12.591185312451588,3.559489392887046,0.262659,0.0995531,0.196132,0.507581,0.342655,0.474449,0.352098,0.817105,0.21179,4.85674,0.28666,,0.0781731,86.0888,18.2104,127.695,0.0781731,0,18.829866856336594,-11.03600025177002,2.82038,999,,,,,,,770.5,5.837121212,770.5,5.837121212,,,,,,,,,,,,,,,,,,,George Springer,12856,543807
