Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Luis García Jr.","WSN",54,225.013,209.245,58.8737,37.0638,10.1584,0.904528,10.747,30.9176,34.9862,12.6268,0.552338,34.4094,0.819946,2.05006,0.271106,4.37921,4.8559,1.47166,0.281363,0.0561161,0.152922,0.366959,0.321794,0.492639,0.348813,0.814433,0.211276,4.8148,0.289679,,0.0904416,32.6736,5.82239,120.412,0.0904416,0.47,5.64591346681118,-3.63416650891304,0.945319,261.8500061035156,,,,,,,308.2,5.707407407,308.2,5.707407407,,,,,,,,,,,,,,,,,,,"Luis Garcia Jr.","20391",671277
"Luis Campusano","SDP",40,161.895,145.104,36.1388,23.54,6.20877,0.228019,6.162,19.571,21.2661,13.9382,0.111822,32.4648,1.42879,1.16972,0.253669,3.40529,0.276214,0.0868542,0.249054,0.0860942,0.20053,0.429333,0.318643,0.422383,0.324518,0.741026,0.173329,2.29556,0.278472,,-0.190645,20.3167,0.997526,107.793,-0.190645,0,1.335438147187233,2.7097718715667725,0.943038,999,,,,,,,175.4,4.385,175.4,4.385,,,,,,,,,,,,,,,,,,,"Luis Campusano","22217",669134
"Cam Smith","HOU",50,221.714,198.008,48.2102,30.883,8.6654,1.39299,7.26887,29.3957,24.4948,19.4222,0.382224,55.7935,2.62846,1.33871,0.316993,3.66404,4.708,1.31574,0.243476,0.0876003,0.251646,0.348109,0.317352,0.411439,0.319805,0.728792,0.167963,5.52949,0.300412,,0.111518,26.9758,0.518153,103.929,0.111518,2.49,1.136554405093193,0.21579599380493164,0.936335,341.8699951171875,,,,,,,241.1,4.822,241.1,4.822,,,,,,,,,,,,,,,,,,,"Cam Smith","35108",701358
"Bryson Stott","PHI",58,254.265,229.001,58.1384,40.1981,11.012,0.728452,6.19989,31.9106,26.8291,21.0287,0.337272,43.9782,1.46795,1.97158,0.795779,3.99141,9.6759,2.27455,0.253878,0.0827041,0.172962,0.478163,0.318126,0.389548,0.312061,0.707674,0.13567,5.5745,0.287279,,0.654303,29.3383,-1.00365,94.1422,0.654303,1.08,-1.1472426652908325,2.0162140130996704,0.926101,181.44000244140625,,,,,,,269.2,4.64137931,269.2,4.64137931,,,,,,,,,,,,,,,,,,,"Bryson Stott","26294",681082
"Patrick Bailey","CLE",42,163.838,148.046,33.0886,22.8022,6.35947,0.348632,3.5783,16.3477,16.4335,12.366,0.13505,40.8573,1.13509,1.25405,1.03747,2.7398,0.846314,0.274837,0.223503,0.0754771,0.249376,0.302664,0.286176,0.34368,0.279954,0.629856,0.120177,3.1645,0.281415,,-0.140396,14.6358,-4.91537,77.062,-0.140396,4.63,-4.562388196587563,7.87074089050293,0.925583,747.8900146484375,,,,,,,132.7,3.159523809,132.7,3.159523809,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"Kerry Carpenter","DET",50,215.514,193.848,48.9132,26.9131,8.68441,0.658032,12.6576,29.9847,34.5812,15.7304,0.405571,55.5211,3.53491,1.65783,0.206342,3.18442,0.752753,0.317816,0.252327,0.0729903,0.257622,0.283323,0.317447,0.499806,0.350208,0.817253,0.247479,3.32684,0.284743,,-0.228893,31.5384,5.82072,124.061,-0.228893,-0.53,5.872616305947304,-4.451444149017334,0.920942,236.22000122070312,,,,,,,296.3,5.926,296.3,5.926,,,,,,,,,,,,,,,,,,,"Kerry Carpenter","25961",681481
"Oneil Cruz","PIT",42,177.646,156.558,38.3707,21.3764,7.0627,0.814398,9.11721,28.0134,24.1875,18.5313,0.85616,55.6259,1.43539,0.970995,0.150394,2.32922,8.46186,2.07919,0.245089,0.104315,0.313127,0.333141,0.328668,0.47531,0.346652,0.803979,0.230222,6.63838,0.315278,,0.610843,25.4843,4.28533,117.079,0.610843,-1.61,4.2806556224823,-1.1291159391403198,0.904526,92.93000030517578,,,,,,,236,5.619047619,236,5.619047619,,,,,,,,,,,,,,,,,,,"Oneil Cruz","21711",665833
"Chase Meidroth","CHW",59,249.825,220.458,56.021,42.2398,8.81776,0.671906,4.2915,28.878,22.1027,23.6308,0,47.2015,2.97258,1.32818,1.43498,6.23438,3.68344,1.30249,0.254112,0.0945897,0.188939,0.500637,0.33264,0.358604,0.310844,0.691244,0.104492,4.26832,0.303767,,-0.176026,28.5793,-1.23282,96.9068,-0.176026,0.13,-1.0852748155593872,1.104763925075531,0.902816,646.8699951171875,,,,,,,248.8,4.216949152,248.8,4.216949152,,,,,,,,,,,,,,,,,,,"Chase Meidroth","31580",805367
"Victor Caratini","MIN",35,136.833,120.804,30.1856,21.2589,4.49651,0.078114,4.352,15.9024,16.1079,11.3054,0.348454,25.6921,2.84111,1.26374,0.170916,3.2927,0.237562,0.0930431,0.249873,0.0826224,0.187763,0.440036,0.32546,0.396464,0.318867,0.721924,0.146591,2.07025,0.280729,,-0.180722,16.5441,0.215547,101.933,-0.180722,2.83,0.13049311935901642,3.9102468490600586,0.902319,681.02001953125,,,,,,,138.2,3.948571428,138.2,3.948571428,,,,,,,,,,,,,,,,,,,"Victor Caratini","14968",605170
"Henry Bolte","ATH",47,204.291,185.903,47.7451,31.9602,8.67872,1.40689,5.69931,29.4735,20.6505,14.3646,0.123604,61.5363,2.79794,0.852849,0.372778,3.7141,8.99495,2.24356,0.256828,0.0703145,0.301219,0.233433,0.318302,0.41062,0.320145,0.728923,0.153792,6.94474,0.351788,,0.60323,24.9122,0.533743,100.729,0.60323,0,0.7785052359104156,0.6832617521286011,0.884582,999,,,,,,,233.5,4.968085106,233.5,4.968085106,,,,,,,,,,,,,,,,,,,"Henry Bolte","31448",703607
"Luke Keaschall","MIN",52,219.32,193.492,53.065,37.0875,10.378,1.11562,4.48386,29.1274,22.1675,19.4941,0.548572,34.66,4.0116,2.01906,0.302953,3.7758,6.8312,1.7189,0.274248,0.0888841,0.158034,0.562437,0.34961,0.408935,0.334941,0.758545,0.134686,5.59409,0.310685,,0.328378,29.3782,3.20626,113.019,0.328378,-1.81,3.6879761815071106,-2.7976542711257935,0.880946,114.8499984741211,,,,,,,252.8,4.861538461,252.8,4.861538461,,,,,,,,,,,,,,,,,,,"Luke Keaschall","33321",807712
