Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Ben Williamson,625,68,13,61,139,208,11,0.306,0.45,0.17,0.37,-0.75,0.52,0.16,-0.06,0.87
Thomas Saggese,625,69,15,67,153,219,8,0.306,0.46,0.21,0.4,-0.82,0.55,0.13,-0.06,0.86
Garrett Mitchell,625,73,16,63,176,207,17,0.306,0.48,0.22,0.37,-0.94,0.52,0.27,-0.06,0.86
Brooks Lee,625,62,14,64,112,206,4,0.288,0.41,0.19,0.38,-0.6,0.52,0.07,-0.11,0.85
Ke'Bryan Hayes,625,64,10,58,121,197,12,0.294,0.42,0.14,0.35,-0.65,0.5,0.18,-0.09,0.85
Kyle Isbel,625,69,11,54,127,197,13,0.29,0.46,0.16,0.32,-0.68,0.5,0.2,-0.1,0.85
J.P. Crawford,637,66,11,58,122,192,5,0.33,0.44,0.15,0.35,-0.65,0.48,0.07,0.01,0.84
Max Muncy,625,71,19,68,170,222,9,0.297,0.47,0.26,0.41,-0.91,0.56,0.13,-0.08,0.84
C.J. Kayfus,625,71,17,68,164,218,7,0.309,0.47,0.24,0.4,-0.88,0.55,0.11,-0.05,0.84
Colson Montgomery,625,70,26,76,189,225,4,0.293,0.47,0.35,0.45,-1.02,0.57,0.06,-0.09,0.79
Carson Williams,625,72,20,70,192,218,13,0.294,0.48,0.27,0.42,-1.03,0.55,0.2,-0.09,0.79
Blaze Alexander,625,73,16,65,179,211,12,0.309,0.49,0.22,0.38,-0.96,0.53,0.19,-0.05,0.79
Ryan McMahon,625,71,21,70,185,211,6,0.309,0.47,0.29,0.42,-1.0,0.53,0.09,-0.05,0.76
Pedro Pagés,625,64,18,69,154,211,5,0.294,0.43,0.24,0.41,-0.83,0.53,0.07,-0.09,0.76
Freddy Fermin,625,64,14,61,130,202,5,0.289,0.43,0.2,0.36,-0.7,0.51,0.08,-0.11,0.76
Gabriel Arias,625,68,17,66,179,213,11,0.291,0.45,0.24,0.4,-0.96,0.53,0.18,-0.1,0.74
Denzel Clarke,625,73,16,61,186,211,15,0.298,0.49,0.21,0.36,-1.0,0.53,0.23,-0.08,0.74
Owen Caissie,625,68,17,69,178,215,8,0.306,0.45,0.24,0.41,-0.96,0.54,0.12,-0.06,0.74
Zach Cole,625,74,20,68,205,215,12,0.295,0.49,0.27,0.4,-1.1,0.54,0.19,-0.09,0.71
Nolan Gorman,625,67,23,77,194,213,5,0.291,0.45,0.32,0.46,-1.04,0.53,0.08,-0.1,0.7
Christian Moore,625,68,18,63,187,207,10,0.297,0.45,0.24,0.38,-1.0,0.52,0.16,-0.08,0.66
Brady House,625,61,15,68,170,212,7,0.283,0.4,0.2,0.4,-0.91,0.53,0.11,-0.12,0.62
Griffin Conine,625,65,18,69,182,207,4,0.297,0.43,0.24,0.41,-0.98,0.52,0.07,-0.08,0.61
Patrick Bailey,625,60,14,59,162,192,3,0.283,0.4,0.19,0.35,-0.87,0.48,0.05,-0.12,0.48
