Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Austin Martin,625,76,13,60,120,211,16,0.333,0.5,0.18,0.36,-0.64,0.53,0.25,0.02,1.2
Dylan Crews,625,74,18,67,143,220,24,0.296,0.49,0.24,0.4,-0.77,0.55,0.37,-0.09,1.2
Mike Trout,625,80,30,85,186,243,4,0.347,0.53,0.41,0.51,-1.0,0.61,0.07,0.06,1.19
Alec Bohm,625,70,15,74,100,233,3,0.32,0.46,0.21,0.44,-0.54,0.58,0.05,-0.02,1.19
Jeff McNeil,625,71,15,65,85,219,4,0.322,0.47,0.2,0.39,-0.46,0.55,0.05,-0.01,1.19
Konnor Griffin,625,76,18,69,153,228,20,0.315,0.5,0.25,0.41,-0.82,0.57,0.31,-0.03,1.19
Jake Burger,625,74,30,88,156,259,3,0.294,0.49,0.41,0.53,-0.84,0.65,0.04,-0.09,1.19
Anthony Santander,625,74,28,82,137,236,2,0.302,0.49,0.39,0.49,-0.74,0.59,0.04,-0.07,1.19
Dylan Moore,625,80,21,69,163,221,21,0.311,0.53,0.29,0.41,-0.88,0.55,0.33,-0.04,1.19
Starling Marte,625,76,18,69,136,226,14,0.321,0.5,0.24,0.41,-0.73,0.57,0.22,-0.02,1.19
J.T. Realmuto,625,77,20,76,147,236,11,0.318,0.51,0.27,0.45,-0.79,0.59,0.17,-0.02,1.18
Michael Busch,625,78,26,85,158,243,3,0.325,0.52,0.35,0.5,-0.85,0.61,0.05,-0.0,1.18
Isaac Collins,625,77,15,63,130,213,16,0.327,0.51,0.2,0.38,-0.7,0.53,0.25,0.0,1.18
Sal Frelick,625,70,9,58,95,202,17,0.317,0.47,0.13,0.35,-0.51,0.51,0.27,-0.03,1.18
Ezequiel Tovar,651,78,21,82,163,263,10,0.302,0.51,0.29,0.49,-0.87,0.66,0.16,-0.07,1.17
Evan Carter,625,78,16,62,141,216,20,0.316,0.51,0.22,0.37,-0.76,0.54,0.31,-0.03,1.17
Kyle Manzardo,625,71,28,87,147,240,2,0.311,0.47,0.38,0.52,-0.79,0.6,0.03,-0.04,1.17
Daylen Lile,625,71,11,65,115,226,16,0.317,0.47,0.15,0.38,-0.62,0.57,0.25,-0.03,1.17
JJ Bleday,625,73,23,79,141,233,6,0.316,0.49,0.32,0.47,-0.76,0.58,0.1,-0.03,1.17
Harrison Bader,625,77,19,68,151,225,19,0.301,0.51,0.26,0.4,-0.81,0.57,0.29,-0.07,1.16
Royce Lewis,625,72,21,73,132,229,12,0.294,0.48,0.29,0.43,-0.71,0.58,0.18,-0.09,1.16
Adolis García,625,75,26,82,159,239,11,0.291,0.5,0.35,0.49,-0.86,0.6,0.17,-0.1,1.16
Jonathan Aranda,625,74,23,84,151,242,1,0.337,0.49,0.32,0.5,-0.81,0.61,0.02,0.03,1.15
Christian Walker,625,75,30,84,159,241,4,0.301,0.5,0.4,0.5,-0.86,0.61,0.06,-0.07,1.15
Ryan O'Hearn,625,72,16,71,120,226,5,0.334,0.48,0.22,0.43,-0.65,0.57,0.08,0.02,1.15
Victor Robles,625,76,15,57,141,209,24,0.309,0.5,0.2,0.34,-0.75,0.52,0.38,-0.05,1.15
Ramón Laureano,625,80,23,76,163,239,10,0.311,0.53,0.31,0.45,-0.87,0.6,0.16,-0.04,1.14
Andrés Giménez,625,73,10,53,112,198,24,0.303,0.49,0.13,0.31,-0.6,0.5,0.38,-0.07,1.14
Dylan Beavers,625,77,18,68,145,222,14,0.32,0.51,0.25,0.4,-0.78,0.56,0.22,-0.02,1.14
Miguel Andujar,625,69,17,72,108,227,6,0.307,0.46,0.23,0.43,-0.58,0.57,0.1,-0.05,1.14
Drake Baldwin,625,72,19,75,118,227,2,0.322,0.48,0.26,0.45,-0.63,0.57,0.03,-0.01,1.13
Munetaka Murakami,625,87,35,88,231,233,13,0.331,0.58,0.47,0.53,-1.24,0.58,0.2,0.01,1.13
Carson Kelly,625,72,21,76,130,223,5,0.317,0.48,0.29,0.45,-0.7,0.56,0.08,-0.03,1.13
Marcell Ozuna,625,75,25,82,153,232,2,0.331,0.5,0.34,0.49,-0.82,0.58,0.03,0.01,1.13
Paul Goldschmidt,625,73,21,77,143,236,8,0.311,0.49,0.29,0.46,-0.77,0.59,0.12,-0.05,1.13
Jordan Beck,625,79,19,74,172,239,17,0.314,0.53,0.27,0.44,-0.92,0.6,0.27,-0.04,1.13
Jake Fraley,625,73,15,64,134,212,18,0.313,0.49,0.21,0.38,-0.72,0.53,0.28,-0.04,1.13
Riley Greene,651,83,27,85,188,260,4,0.321,0.55,0.37,0.51,-1.01,0.65,0.06,-0.02,1.12
Mike Yastrzemski,625,75,22,75,142,224,7,0.319,0.5,0.3,0.45,-0.76,0.56,0.1,-0.02,1.12
Spencer Torkelson,651,76,28,85,167,243,2,0.317,0.5,0.38,0.51,-0.9,0.61,0.04,-0.03,1.11
Colt Keith,625,75,18,71,133,232,6,0.323,0.5,0.25,0.42,-0.71,0.58,0.09,-0.01,1.11
Giancarlo Stanton,625,76,34,90,183,249,2,0.302,0.51,0.46,0.53,-0.98,0.62,0.04,-0.07,1.11
Ty France,625,72,18,73,125,224,5,0.324,0.47,0.24,0.43,-0.67,0.56,0.08,-0.01,1.11
Jesse Winker,625,74,19,69,138,216,9,0.327,0.49,0.26,0.41,-0.74,0.54,0.15,-0.0,1.11
Carlos Santana,625,71,21,73,129,220,7,0.307,0.47,0.28,0.44,-0.69,0.55,0.12,-0.06,1.11
Victor Caratini,625,71,19,73,123,223,4,0.319,0.47,0.26,0.43,-0.66,0.56,0.07,-0.02,1.1
Anthony Volpe,625,75,18,65,149,219,19,0.297,0.5,0.25,0.39,-0.8,0.55,0.29,-0.08,1.1
Jake Meyers,625,74,15,64,132,218,13,0.317,0.49,0.21,0.38,-0.71,0.55,0.21,-0.03,1.1
Tommy Pham,625,74,19,71,141,223,10,0.318,0.49,0.26,0.42,-0.76,0.56,0.15,-0.03,1.1
Spencer Steer,625,72,19,69,134,217,11,0.312,0.48,0.26,0.41,-0.72,0.55,0.17,-0.04,1.1
Wenceel Pérez,625,74,17,64,134,218,15,0.302,0.49,0.23,0.38,-0.72,0.55,0.23,-0.07,1.09
Thairo Estrada,625,72,16,68,129,221,12,0.306,0.48,0.22,0.41,-0.69,0.56,0.18,-0.06,1.09
Michael Massey,625,69,19,75,127,228,7,0.3,0.46,0.26,0.45,-0.68,0.57,0.1,-0.07,1.09
Nathan Lukes,625,72,15,66,118,217,8,0.319,0.48,0.21,0.39,-0.64,0.55,0.12,-0.02,1.09
Eugenio Suárez,630,76,32,93,189,248,3,0.302,0.51,0.44,0.55,-1.01,0.62,0.04,-0.07,1.08
Cole Young,625,69,16,66,119,212,10,0.315,0.46,0.21,0.4,-0.64,0.53,0.15,-0.03,1.08
Addison Barger,625,75,22,76,151,235,6,0.306,0.5,0.3,0.45,-0.81,0.59,0.1,-0.06,1.08
Zach McKinstry,625,76,14,60,139,213,19,0.309,0.5,0.2,0.36,-0.75,0.54,0.29,-0.05,1.08
Nasim Nuñez,625,72,14,57,144,202,25,0.31,0.48,0.18,0.34,-0.77,0.51,0.39,-0.05,1.08
Moisés Ballesteros,625,71,17,73,126,224,5,0.319,0.47,0.23,0.43,-0.68,0.56,0.08,-0.02,1.08
Brandon Lowe,625,73,24,82,158,236,5,0.31,0.48,0.33,0.49,-0.85,0.59,0.08,-0.05,1.07
Joey Ortiz,625,68,13,62,111,207,16,0.295,0.45,0.18,0.37,-0.59,0.52,0.24,-0.09,1.07
Jorge Soler,625,73,28,82,164,236,2,0.316,0.49,0.38,0.49,-0.88,0.59,0.03,-0.03,1.07
Trevor Larnach,625,73,19,71,140,223,7,0.325,0.49,0.25,0.42,-0.75,0.56,0.1,-0.01,1.07
Taylor Walls,625,73,15,62,143,206,21,0.304,0.48,0.21,0.37,-0.77,0.52,0.32,-0.06,1.07
Brooks Baldwin,625,72,20,70,147,229,11,0.303,0.48,0.28,0.42,-0.79,0.58,0.17,-0.07,1.07
Luis Rengifo,625,71,13,61,120,208,16,0.305,0.47,0.17,0.36,-0.64,0.52,0.24,-0.06,1.07
Luisangel Acuña,625,71,11,55,125,205,23,0.298,0.47,0.15,0.33,-0.67,0.52,0.36,-0.08,1.07
Andrew McCutchen,625,73,21,74,143,222,6,0.322,0.49,0.28,0.44,-0.77,0.56,0.09,-0.01,1.07
Jake Mangum,625,71,9,59,118,211,18,0.31,0.47,0.12,0.35,-0.63,0.53,0.28,-0.05,1.07
Matt McLain,625,77,20,68,174,224,18,0.312,0.51,0.28,0.41,-0.94,0.56,0.28,-0.04,1.06
Bryan Reynolds,651,77,17,75,155,237,6,0.331,0.51,0.23,0.44,-0.83,0.6,0.09,0.01,1.06
Nolan Schanuel,625,68,9,53,85,192,6,0.345,0.45,0.12,0.32,-0.46,0.48,0.09,0.05,1.06
Samuel Basallo,625,72,22,76,146,232,6,0.304,0.48,0.3,0.45,-0.78,0.58,0.09,-0.06,1.06
Mauricio Dubón,625,69,14,66,106,217,7,0.304,0.46,0.19,0.39,-0.57,0.54,0.11,-0.06,1.06
Josh Lowe,625,75,17,62,164,217,24,0.299,0.5,0.23,0.37,-0.88,0.54,0.37,-0.08,1.06
Colton Cowser,625,80,25,76,189,233,13,0.311,0.53,0.34,0.45,-1.01,0.58,0.2,-0.04,1.05
TJ Friedl,625,69,13,54,103,189,12,0.322,0.46,0.18,0.32,-0.55,0.47,0.19,-0.01,1.05
Carson Benge,625,71,17,68,137,218,11,0.313,0.47,0.23,0.41,-0.73,0.55,0.17,-0.04,1.05
Isiah Kiner-Falefa,625,71,13,62,122,211,14,0.307,0.47,0.18,0.37,-0.66,0.53,0.22,-0.05,1.05
Jake Bauers,625,74,22,76,166,219,12,0.313,0.49,0.3,0.45,-0.89,0.55,0.19,-0.04,1.05
Carlos Correa,625,72,17,70,125,222,1,0.328,0.48,0.23,0.42,-0.67,0.56,0.02,0.0,1.04
Jake Cronenworth,630,73,17,66,126,210,5,0.329,0.48,0.23,0.39,-0.68,0.53,0.08,0.0,1.04
Matt Wallner,625,78,27,80,183,234,6,0.317,0.52,0.37,0.48,-0.98,0.59,0.1,-0.03,1.04
Colt Emerson,625,70,16,69,134,216,10,0.315,0.46,0.22,0.41,-0.72,0.54,0.16,-0.03,1.04
Victor Scott II,625,75,10,44,145,186,35,0.291,0.5,0.14,0.26,-0.78,0.47,0.55,-0.1,1.04
Rhys Hoskins,625,73,25,79,159,222,5,0.313,0.49,0.34,0.47,-0.85,0.56,0.08,-0.04,1.04
Spencer Horwitz,625,69,15,69,116,213,4,0.329,0.46,0.2,0.41,-0.63,0.53,0.06,0.01,1.04
Ryan Jeffers,625,71,20,70,133,219,4,0.319,0.47,0.27,0.41,-0.72,0.55,0.06,-0.02,1.03
Masyn Winn,630,69,12,60,113,214,12,0.299,0.46,0.17,0.36,-0.61,0.54,0.19,-0.08,1.03
Casey Schmitt,625,72,21,73,145,231,6,0.305,0.48,0.29,0.43,-0.78,0.58,0.09,-0.06,1.03
JJ Wetherholt,625,70,15,66,125,212,10,0.316,0.46,0.2,0.39,-0.67,0.53,0.15,-0.03,1.03
Keibert Ruiz,625,63,16,70,104,212,6,0.298,0.42,0.22,0.42,-0.56,0.53,0.09,-0.08,1.03
Dominic Canzone,625,68,21,78,144,228,6,0.301,0.45,0.29,0.46,-0.78,0.57,0.1,-0.07,1.03
Jacob Young,625,70,10,51,126,197,23,0.309,0.47,0.14,0.31,-0.68,0.49,0.35,-0.05,1.03
Rowdy Tellez,625,69,24,79,148,226,5,0.3,0.46,0.32,0.47,-0.79,0.57,0.07,-0.07,1.03
Kyle Stowers,625,74,26,84,178,240,4,0.315,0.49,0.35,0.5,-0.96,0.6,0.07,-0.03,1.02
Carter Jensen,625,75,19,73,155,227,8,0.316,0.5,0.26,0.43,-0.83,0.57,0.13,-0.03,1.02
Gavin Sheets,625,68,19,72,125,222,3,0.306,0.45,0.26,0.43,-0.67,0.56,0.05,-0.06,1.02
Sean Murphy,625,74,23,78,158,224,4,0.317,0.49,0.31,0.46,-0.85,0.56,0.06,-0.03,1.01
Mike Tauchman,625,72,18,69,140,213,6,0.325,0.48,0.24,0.41,-0.75,0.53,0.1,-0.0,1.01
