Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Manny Machado","SDP",146.563,628.315,568.108,147.842,94.4774,26.1422,1.46914,25.7531,78.5769,82.6625,51.0221,3.64958,122.599,2.29017,5.71037,0.614708,10.9364,9.47012,2.49826,0.260235,0.0812047,0.195124,0.41617,0.320753,0.447417,0.329287,0.76817,0.187182,4.07395,0.286953,,-0.0806214,82.5205,8.28023,114.896,-0.0806214,-0.27,11.011984221637249,-0.5650141835212708,3.20762,38.689998626708984,,,,,,,756.8,5.148299319,756.8,5.148299319,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Patrick Bailey","SFG",127.028,474.353,429.704,92.3011,62.7188,19.0491,1.16434,9.3689,45.3281,43.2152,34.9189,0.421667,129.72,3.42347,3.4802,2.82603,7.39078,1.83819,0.583078,0.214801,0.0736138,0.273467,0.269187,0.277065,0.329961,0.268415,0.607025,0.115159,3.24042,0.281991,,-0.535531,38.8561,-17.1924,71.8512,-0.535531,21.91,-16.36099249124527,31.711543083190918,3.18523,744.3800048828125,,,,,,,345.6,2.721259842,345.6,2.721259842,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"Gabriel Moreno","ARI",112.9,440.437,393.205,108.101,75.5778,20.9192,1.35662,10.2477,52.6643,51.8383,39.0071,1.85491,75.0389,3.91663,3.64701,0.660986,10.1124,4.11123,1.37948,0.274923,0.0885645,0.170374,0.519825,0.343414,0.413211,0.329801,0.756625,0.138288,3.81369,0.314071,,-0.512739,58.0293,5.98827,110.525,-0.512739,3.31,4.98157012462616,11.138008117675781,3.14847,177.83999633789062,,,,,,,506.2,4.479646017,506.2,4.479646017,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Xander Bogaerts","SDP",136.573,569.478,506.603,134.472,95.5535,24.1331,1.33128,13.4539,70.3299,59.7971,44.8542,1.41805,102.089,4.92273,5.41257,0.893925,11.7913,17.8749,4.15996,0.265438,0.0787637,0.179267,0.439365,0.327966,0.398002,0.317004,0.725968,0.132564,5.04571,0.305236,,0.921332,69.1142,1.826,106.482,0.921332,0.12,5.296352207660675,6.442823998630047,3.13955,240.75,,,,,,,613.9,4.481021897,613.9,4.481021897,,,,,,,,,,,,,,,,,,,"Xander Bogaerts","12161",593428
"Bo Bichette","NYM",139.189,607.76,563.125,161.851,114.527,29.0711,2.07153,16.1811,74.1286,71.7678,35.6924,1.16701,97.8364,3.66349,4.16083,0.673326,14.1246,6.44582,1.98802,0.287416,0.0587278,0.160979,0.364817,0.331674,0.432601,0.330689,0.764275,0.145185,4.02294,0.321377,,-0.53315,80.5128,8.70132,115.419,-0.53315,-0.81,10.573325216770172,-0.26158010959625244,3.12381,97.33999633789062,,,,,,,715.9,5.150359712,715.9,5.150359712,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"Riley Greene","DET",148.29,629.522,562.593,144.227,85.746,25.4028,3.76073,29.3179,83.8556,86.3916,57.3224,1.88729,179.773,4.89998,4.23263,0.474349,10.8749,3.89888,1.03466,0.256362,0.091057,0.28557,0.318861,0.328194,0.471221,0.34286,0.799415,0.214859,4.38686,0.321214,,-0.608316,89.6163,15.2334,120.476,-0.608316,1.45,14.584260284900665,-5.808984994888306,3.11464,78.25,,,,,,,802.1,5.419594594,802.1,5.419594594,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Maikel Garcia","KCR",150.032,640.045,576.162,153.673,106.374,30.3154,3.90305,13.0807,82.118,65.7931,52.9641,0.820026,93.1167,1.62281,5.95747,3.3387,12.6143,26.2642,5.95852,0.266718,0.0827506,0.145485,0.568793,0.327089,0.400992,0.31748,0.728082,0.134274,6.17213,0.29541,,1.75553,77.9257,2.29949,100.227,1.75553,3.97,1.9269713461399078,6.382795095443726,3.10407,68.36000061035156,,,,,,,716,4.773333333,716,4.773333333,,,,,,,,,,,,,,,,,,,"Maikel Garcia","22715",672580
"Hunter Goodman","COL",138.791,560.183,515.621,132.161,71.5909,29.3402,2.07383,29.1564,71.5643,88.7221,33.8276,0.413129,146.823,5.67354,4.59626,0.464875,8.27434,2.52804,0.731498,0.256315,0.0603867,0.262098,0.230398,0.306694,0.4909,0.339343,0.797594,0.234585,3.66028,0.299226,,-0.524619,78.1461,11.9562,104.393,-0.524619,4.68,2.392117500305176,8.747082233428955,3.04652,63.36000061035156,,,,,,,714.2,5.138129496,714.2,5.138129496,,,,,,,,,,,,,,,,,,,"Hunter Goodman","29715",696100
"Austin Wells","NYY",116.992,440.639,394.765,85.1038,48.9221,18.2045,1.14343,16.8338,48.711,51.4164,36.8015,0.767285,111.121,4.75014,3.47751,0.819948,5.7866,3.48,0.963777,0.215581,0.0835185,0.252183,0.331183,0.287988,0.395417,0.297059,0.683405,0.179836,3.79907,0.252583,,-0.290897,46.3422,-5.72274,90.3048,-0.290897,10.95,-5.326040357351303,19.676254272460938,3.01989,257.6700134277344,,,,,,,427.6,3.654700854,427.6,3.654700854,,,,,,,,,,,,,,,,,,,"Austin Wells","27562",669224
"Pete Alonso","BAL",152.678,654.543,574.461,142.876,80.9046,24.3359,1.76552,35.8701,87.1482,95.9307,61.8849,4.09383,150.322,12.527,5.07842,0.591443,11.165,2.93218,0.815886,0.248713,0.0945467,0.22966,0.411681,0.332269,0.484547,0.348917,0.816816,0.235834,3.32641,0.272039,,-0.746006,96.3972,19.0579,126.344,-0.746006,-0.43,19.577205896377563,-12.793672263622284,2.99897,24.459999084472656,,,,,,,874.1,5.713071895,874.1,5.713071895,,,,,,,,,,,,,,,,,,,"Pete Alonso","19251",624413
"Taylor Ward","BAL",147.827,630.12,551.744,134.838,81.1112,24.6084,1.92832,27.1905,80.9967,80.7437,65.9173,0.580933,155.635,6.60426,5.27034,0.58394,9.48325,4.94869,1.41904,0.244386,0.104611,0.246993,0.423537,0.329385,0.44382,0.335133,0.773205,0.199434,3.75761,0.287683,,-0.601781,85.7485,11.295,116.849,-0.601781,2.07,11.911278069019318,-4.7738425731658936,2.94917,152.1999969482422,,,,,,,767.4,5.185135135,767.4,5.185135135,,,,,,,,,,,,,,,,,,,"Taylor Ward","17548",621493
