"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","+/-","H/AB","R","HR","RBI","SO","SB","OBP","TB","GP"
"*05yca*","Brett Harris","ATH","3B","1289","FA","27","","28.05","2","464.2","5%","0%","24/112","13","2","11","24","2",".318","35","33"
"*025jv*","Yuli Gurriel","(N/A)","1B","1291","FA","41","","28.01","0","-","0%","0%","24/117","11","2","12","23","2",".290","38","32"
"*05gdv*","Pedro Leon","PHI","CF,RF","1292","FA","27","","27.98","3","467","13%","-1%","22/107","11","3","11","37","6",".298","35","33"
"*05jq3*","Joey Wiemer","WSH","LF,RF","1294","FA","27","","27.93","4","465.8","6%","0%","23/120","13","3","13","38","3",".292","36","34"
"*05jse*","Tommy Troy","ARI","2B,CF","1295","FA","24","","27.9","8","474.8","54%","0%","22/92","10","2","9","17","4",".340","34","25"
"*06dqd*","Ben Williamson","TB","3B","1296","FA","25","","27.89","7","471.1","15%","-1%","27/116","14","1","12","28","3",".305","35","33"
"*05131*","Tyler Fitzgerald","SF","2B","1298","FA","28","NYY Wed 8:05PM","27.81","3","467.5","15%","-1%","24/108","13","3","11","35","4",".294","40","33"
"*03qvr*","Seth Brown","NYY","LF","1301","FA","33","@SF Wed 8:05PM","27.79","0","461.7","2%","0%","27/113","10","4","13","32","1",".301","43","29"
"*05jre*","Enrique Bradfield Jr.","BAL","LF,CF","1302","FA","24","","27.79","4","467.5","47%","0%","18/77","11","1","5","21","10",".337","26","24"
"*05m1b*","Denzer Guzman","LAA","SS","1304","FA","22","","27.76","3","467.4","12%","0%","26/129","11","3","13","42","3",".295","40","41"
"*06hx4*","Kaelen Culpepper","MIN","SS","1306","FA","23","","27.56","13","483.1","64%","0%","22/84","10","3","8","17","3",".340","34","24"
"*05uy1*","Justyn-Henry Malloy","TB","RF","1309","FA","26","","27.44","4","469","12%","-1%","23/102","12","3","13","35","1",".358","37","33"
"*05u2k*","Hao-Yu Lee","DET","2B,3B","1312","FA","23","","27.29","5","470","29%","0%","20/84","11","2","9","21","4",".333","32","25"
"*04ejw*","Bligh Madris","STL","1B","1313","FA","29","","27.27","0","-","1%","0%","19/106","12","3","12","35","4",".275","34","32"
"*02brk*","Austin Hedges","CLE","C","1314","FA","33","","27.24","2","465.1","2%","0%","21/126","11","3","11","33","1",".245","33","41"
"*042no*","Oswaldo Cabrera","NYY","3B","1315","FA","26","@SF Wed 8:05PM","27.2","4","466.9","12%","-1%","26/112","16","2","13","29","0",".295","36","33"
"*051d0*","Troy Johnston","COL","1B,LF,RF","1318","FA","28","","27.11","21","469","17%","0%","21/87","10","2","10","19","3",".313","33","25"
"*03zbp*","Jose Fermin","STL","2B","1319","FA","26","","27.03","5","469.5","6%","0%","19/82","9","1","7","9","4",".344","27","25"
"*04q3n*","Nate Eaton","BOS","3B,RF","1322","FA","29","","26.97","3","465.4","4%","-1%","19/89","10","2","8","23","6",".278","30","25"
"*0511w*","Aaron Schunk","ATL","SS","1323","FA","28","","26.94","0","461.9","5%","0%","26/114","10","2","10","28","2",".290","39","30"
"*042af*","Enmanuel Valdez","PIT","1B","1324","FA","27","","26.94","3","465.2","6%","0%","23/107","10","3","13","25","0",".294","37","33"
"*04pkq*","Anthony Seigler","BOS","C,2B,3B","1325","FA","26","","26.93","0","-","5%","0%","15/76","9","2","8","19","4",".330","24","25"
"*04gdw*","Johnathan Rodriguez","CLE","RF","1326","FA","26","","26.91","2","465.6","13%","0%","22/90","10","3","11","24","1",".340","35","25"
"*04pmt*","Jeremiah Jackson","BAL","2B,3B,RF","1328","FA","25","","26.88","13","480.3","21%","0%","25/113","10","3","11","27","1",".267","40","32"
"*060la*","Jett Williams","MIL","2B,SS,CF","1330","FA","22","","26.87","29","465.6","74%","+1%","18/81","12","2","6","24","5",".330","31","25"
"*04esz*","Chas McCormick","CHC","LF,CF,RF","1331","FA","30","","26.83","2","464.3","6%","0%","20/90","11","4","11","29","2",".293","35","25"
"*04prc*","Brandon Lockridge","MIL","LF,CF,RF","1332","FA","28","","26.73","1","462.8","4%","0%","19/83","10","0","6","23","8",".326","25","25"
"*04q5b*","Jonah Bride","TEX","2B,3B","1334","FA","30","","26.68","3","466","4%","-1%","22/105","11","3","12","29","0",".331","35","33"
"*01ubo*","Kris Bryant","COL","RF","1336","FA","34","","26.65","4","465.4","9%","0%","30/139","11","3","11","45","0",".297","44","40"
"*0515f*","Drew Millas","WSH","C","1338","FA","28","","26.62","0","462.1","3%","0%","19/79","8","1","8","13","3",".302","27","24"
"*04is5*","Everson Pereira","CHW","CF","1339","FA","24","","26.59","6","472.8","15%","0%","17/82","12","4","12","30","3",".293","31","24"
"*05r9h*","Jacob Hurtubise","MIL","LF","1341","FA","28","","26.43","0","-","2%","0%","15/76","14","1","5","21","5",".365","22","25"
"*0519f*","Nick Sogard","BOS","1B","1343","FA","28","","26.36","1","463.3","4%","0%","20/80","11","1","7","18","3",".362","28","25"
"*041vt*","Samad Taylor","SD","2B","1344","FA","27","","26.34","1","462.6","3%","0%","17/74","11","1","8","21","6",".329","25","24"
"*05rcg*","Braden Montgomery","CHW","CF,RF","1346","FA","22","","26.27","12","482.3","68%","+1%","26/109","10","1","8","36","3",".336","38","33"
"*04eit*","Corey Julks","DET","LF","1347","FA","29","","26.23","0","461.9","2%","0%","20/85","10","2","8","21","3",".309","30","22"
"*06dmp*","Max Anderson","DET","2B","1348","FA","23","","26.2","7","468","41%","0%","23/86","9","2","11","16","0",".323","34","25"
"*0403l*","Rafael Marchan","PHI","C","1351","FA","26","","26.12","5","470","5%","0%","19/82","8","2","9","16","0",".315","28","25"
"*041q7*","Ben Rortvedt","NYM","C","1352","FA","28","","26.1","2","465.2","2%","0%","20/106","10","2","11","32","0",".283","30","33"
"*0420h*","Weston Wilson","BAL","2B,LF","1353","FA","31","","26.08","0","-","2%","0%","18/82","10","3","10","25","2",".319","30","24"
"*0617q*","Bryce Teodosio","LAA","CF","1356","FA","26","","26","1","462.6","3%","0%","21/110","10","1","7","37","7",".258","30","32"
"*0310a*","Reese McGuire","MIL","C","1358","FA","30","","25.94","1","462.2","2%","0%","18/89","9","3","12","25","0",".260","30","25"
"*041qh*","Jose Miranda","SD","3B","1359","FA","27","","25.94","3","466.7","11%","-1%","23/107","9","2","10","19","0",".276","33","28"
"*041t8*","Andrew Knizner","SEA","C","1361","FA","31","","25.91","2","465.8","2%","0%","18/83","9","2","9","19","0",".309","28","23"
"*03d6q*","Derek Hill","CHW","CF","1362","FA","30","","25.9","1","462.8","3%","0%","20/86","11","2","7","26","4",".290","31","25"
"*05rcf*","Joshua Baez","STL","CF,RF","1363","FA","22","","25.87","25","471.4","67%","+1%","12/55","6","2","7","13","7",".338","20","16"
"*0433b*","Ildemaro Vargas","ARI","1B,2B","1365","FA","34","","25.71","1","462.9","2%","0%","20/90","8","1","10","9","1",".278","28","25"
"*03qk3*","Luke Williams","ATL","SS","1367","FA","29","","25.6","0","461.8","1%","0%","12/67","8","1","6","21","10",".267","18","18"
"*03qu7*","Nick Madrigal","LAA","2B,3B","1368","FA","28","","25.57","2","464.5","3%","0%","21/81","9","0","8","8","1",".326","28","22"
"*0510z*","Korey Lee","CHW","C","1370","FA","27","","25.47","4","466.7","6%","0%","20/88","9","2","8","23","1",".269","29","25"
"*05jp4*","Casey Schmitt","SF","1B,2B,3B","1374","FA","26","NYY Wed 8:05PM","25.42","27","470","20%","-1%","19/83","9","3","11","21","0",".297","32","25"
"*04mrb*","Jorge Barrosa","ARI","LF,CF","1375","FA","25","","25.4","1","463.6","6%","0%","19/86","9","1","8","19","2",".316","28","25"
"*04ol2*","Liover Peguero","PHI","SS","1377","FA","25","","25.37","2","466","9%","-1%","17/77","8","2","9","18","3",".286","27","24"
"*06434*","Jimmy Crooks","STL","C","1378","FA","24","","25.36","16","479","21%","0%","19/84","8","2","11","26","0",".301","28","25"
"*05jsc*","Sterlin Thompson","COL","LF","1379","FA","24","","25.34","4","470.2","24%","0%","19/76","8","2","7","20","2",".337","31","24"
"*031b4*","Tyler Wade","TEX","SS,LF,CF","1380","FA","31","","25.34","0","462.3","2%","0%","23/109","13","0","7","28","2",".301","28","29"
"*04yd8*","Jhonny Pereda","SEA","C","1383","FA","29","","25.14","1","462.6","2%","0%","19/83","8","1","6","20","0",".333","26","25"
"*05yfw*","Braiden Ward","BOS","LF,CF","1385","FA","27","","25.08","0","462.3","3%","0%","13/55","8","0","3","13","8",".354","18","17"
"*03yxd*","Vidal Brujan","NYM","3B,SS","1386","FA","28","","25.05","3","464.8","6%","0%","19/88","12","1","6","21","2",".296","26","25"
"*04ydt*","Christian Koss","SF","2B,3B","1387","FA","28","NYY Wed 8:05PM","25.03","2","464.6","5%","-1%","20/86","10","1","9","21","2",".290","28","25"
"*05xu0*","Drew Gilbert","SF","CF,RF","1389","FA","25","NYY Wed 8:05PM","24.94","10","475.8","41%","-1%","17/82","8","2","8","18","1",".309","26","25"
"*041qi*","Akil Baddoo","MIL","LF","1391","FA","27","","24.76","4","468.6","4%","0%","14/68","8","2","6","21","4",".299","25","17"
"*066lr*","Graham Pauley","MIA","3B","1392","FA","25","","24.74","19","481.9","17%","0%","17/82","8","2","8","18","1",".293","27","25"
"*03lua*","Brendan Rodgers","BOS","2B","1393","FA","29","","24.74","1","463.6","6%","+1%","22/94","10","2","9","27","0",".287","32","25"
"*05u9y*","Max Clark","DET","CF","1394","FA","21","","24.71","21","485.1","76%","+1%","13/55","10","2","6","11","2",".344","24","17"
"*031c4*","Trey Mancini","LAA","1B","1395","FA","33","","24.7","1","463.7","1%","0%","19/94","10","2","9","28","1",".272","28","25"
"*04pqb*","Mike Siani","LAD","CF","1396","FA","26","","24.67","0","462","3%","0%","16/83","11","1","6","27","5",".287","21","10"
"*03110*","Tim Anderson","(N/A)","2B,SS","1398","FA","32","","24.62","0","-","1%","0%","30/137","12","0","6","39","2",".257","34","34"
"*06dpu*","Gustavo Campero","LAA","RF","1399","FA","28","","24.6","1","463.7","5%","-1%","13/54","6","1","5","10","5",".349","18","15"
"*059bs*","Bryan Ramos","BAL","3B","1400","FA","23","","24.57","2","465.2","15%","-1%","16/86","9","2","8","22","2",".271","25","26"
"*060ub*","Colt Emerson","SEA","SS","1401","FA","20","","24.56","62","430.9","82%","0%","15/56","7","1","7","12","3",".359","22","16"
"*041qk*","Garrett Hampson","CIN","2B,SS,LF,CF","1405","FA","31","","24.5","0","461.8","2%","0%","20/97","12","0","6","30","4",".274","25","26"
"*05y7t*","Henry Bolte","ATH","CF,RF","1406","FA","22","","24.47","4","469.3","35%","0%","14/57","7","1","5","21","6",".348","20","17"
"*051br*","Brett Wisely","ATL","2B","1407","FA","26","","24.44","0","462.1","3%","0%","17/77","8","1","8","18","2",".310","25","24"
"*04yia*","Will Wilson","SEA","2B,3B","1410","FA","27","","24.37","0","462.4","4%","0%","17/86","8","2","8","24","2",".274","26","23"
"*052h8*","Jesus Rodriguez","SF","C","1411","FA","23","NYY Wed 8:05PM","24.35","8","478.2","14%","0%","14/51","6","1","5","8","2",".362","19","16"
"*066da*","Tim Elko","CHW","1B","1412","FA","27","","24.34","0","462.4","7%","0%","18/82","8","3","9","29","1",".281","30","25"
"*0662o*","Sebastian Walcott","TEX","SS","1413","FA","19","","24.2","18","479.1","74%","0%","14/53","7","1","5","13","4",".371","19","16"
"*03nrk*","Oscar Gonzalez","(N/A)","LF","1414","FA","28","","24.14","0","-","1%","0%","17/74","8","2","9","18","1",".260","26","19"
"*05u36*","Aidan Miller","PHI","SS","1415","FA","21","","24.13","38","448.9","77%","0%","12/50","7","1","3","15","6",".367","18","16"
"*0612z*","Trey Lipscomb","WSH","3B","1416","FA","25","","24.11","2","464.8","8%","0%","17/75","7","1","7","15","2",".275","24","21"
"*06am0*","Mickey Gasper","BOS","C,2B","1419","FA","30","","24.06","0","462.3","2%","0%","13/57","7","1","5","11","1",".343","19","17"
"*05xse*","Hector Rodriguez","CIN","LF","1422","FA","21","","23.89","9","472.1","40%","0%","15/57","8","2","5","11","2",".311","23","16"
"*05rcd*","Joe Mack","MIA","C","1423","FA","23","","23.85","26","461.5","59%","0%","13/55","7","2","7","17","1",".311","22","16"
"*02t8m*","Tom Murphy","(N/A)","C","1424","FA","34","","23.73","1","461.7","1%","0%","13/53","7","3","6","18","0",".298","26","15"
"*04nb4*","Rece Hinds","CIN","RF","1425","FA","25","","23.73","4","468.1","18%","-1%","13/55","8","3","9","23","2",".311","25","16"
"*05uvx*","Cameron Cauley","TEX","2B,SS,CF","1426","FA","23","","23.67","3","466.8","17%","0%","13/56","8","2","6","17","3",".306","24","16"
"*05gsg*","Justin Foscue","TEX","1B","1427","FA","26","","23.52","1","461.4","14%","0%","12/54","7","2","7","10","1",".323","21","16"
"*064n8*","Nathan Church","STL","LF,CF","1428","FA","25","","23.51","6","472.4","12%","0%","14/58","7","1","6","8","2",".313","19","16"
"*04aov*","Tirso Ornelas","SD","LF","1429","FA","25","","23.46","3","466.4","16%","-1%","14/61","6","1","7","12","1",".329","20","19"
"*05wrt*","Tre Morgan","TB","1B","1430","FA","23","","23.37","5","468.4","49%","0%","12/51","7","1","7","12","1",".371","19","16"
"*04yew*","Steward Berroa","MIL","RF","1431","FA","26","","23.37","0","-","1%","0%","11/52","8","1","5","18","6",".317","16","16"
"*05yfl*","Joey Loperfido","HOU","LF","1432","FA","26","","23.33","11","475.4","22%","0%","14/60","7","2","7","18","1",".313","23","17"
"*0518r*","Dustin Harris","CHW","LF","1433","FA","26","","23.25","0","462.2","11%","0%","12/53","7","1","4","13","4",".328","17","15"
"*04ptr*","Willie MacIver","TEX","C","1434","FA","29","","23.21","1","463.9","3%","0%","12/53","5","1","6","16","2",".317","18","16"
"*06ltg*","Payton Eeles","BAL","2B,SS","1435","FA","26","","23.13","2","463.6","12%","-1%","11/52","7","1","5","13","4",".339","15","16"
"*067yp*","Ralphy Velazquez","CLE","1B","1436","FA","20","","23.13","3","468.5","59%","+1%","13/55","6","2","7","14","0",".323","25","16"
"*04053*","Matt Thaiss","BOS","C","1437","FA","30","","23.1","0","-","1%","0%","12/52","6","1","6","15","0",".365","18","17"
"*05yib*","Nelson Rada","LAA","CF","1438","FA","20","","23.09","9","479.6","40%","0%","13/55","6","0","3","13","5",".333","15","16"
"*04psg*","Cesar Salazar","HOU","C","1439","FA","29","","23","1","463.1","2%","0%","11/49","5","1","6","10","0",".367","16","16"
"*05y6f*","Ben Cowles","TOR","2B,3B,SS","1440","FA","26","","22.93","0","462.1","4%","0%","13/55","6","1","6","12","2",".323","19","16"
"*04mkt*","Dairon Blanco","KC","CF","1442","FA","32","","22.88","0","462","2%","0%","7/32","6","1","3","9","8",".306","11","10"
"*04ei5*","Nick Maton","(N/A)","1B","1443","FA","29","","22.87","0","-","1%","0%","12/62","6","2","8","19","0",".315","20","18"
"*0637j*","Josue Briceno","DET","C,1B","1444","FA","21","","22.85","9","476.7","66%","+1%","13/57","5","1","5","16","0",".333","20","17"
"*06481*","Jacob Reimer","NYM","3B","1445","FA","21","","22.83","0","-","51%","+1%","12/49","7","2","7","14","1",".351","20","16"
"*02yoi*","Alex Jackson","MIN","C","1446","FA","30","","22.83","2","465","2%","0%","11/57","8","2","6","19","0",".270","20","16"
"*05ge1*","Ryan Clifford","NYM","1B,LF,RF","1447","FA","22","","22.73","11","478.1","58%","+1%","11/52","6","2","8","19","1",".339","19","16"
"*0513b*","Kyle McCann","COL","C","1448","FA","28","","22.7","0","-","1%","0%","13/57","6","2","6","22","0",".313","21","16"
"*0423c*","Carlos Cortes","ATH","LF,RF","1450","FA","28","","22.65","5","469.4","7%","0%","12/53","6","2","8","12","0",".317","21","17"
"*0603l*","RJ Schreck","TOR","CF,RF","1451","FA","25","","22.61","2","466.7","14%","0%","10/47","6","2","6","13","1",".362","18","16"
"*0568a*","Maximo Acosta","MIA","2B,3B,SS","1452","FA","23","","22.59","7","476.1","20%","0%","12/53","6","1","5","12","3",".317","17","16"
"*05uv5*","Abimelec Ortiz","WSH","1B,RF","1453","FA","23","","22.58","13","481.3","42%","+1%","12/56","7","2","7","17","0",".313","21","16"
"*04pvp*","Michael Helman","TEX","CF","1454","FA","29","","22.54","2","464.2","5%","0%","12/57","8","2","7","14","2",".274","21","16"
"*04eel*","Stuart Fairchild","CLE","RF","1455","FA","29","","22.5","0","461.9","2%","0%","12/54","8","1","5","14","3",".300","18","17"
"*05nsq*","Deyvison De Los Santos","MIA","3B","1456","FA","22","","22.48","4","468.2","48%","0%","13/57","7","2","7","14","1",".290","21","17"
"*060fw*","Rafael Lantigua","TOR","2B,3B","1457","FA","27","","22.47","0","461.9","2%","0%","11/50","7","1","5","11","2",".350","16","15"
"*04ps5*","Raynel Delgado","TB","2B","1458","FA","25","","22.45","2","464.7","5%","0%","12/56","5","1","5","13","4",".302","17","16"
"*05jqi*","Shay Whitcomb","HOU","2B,LF","1459","FA","27","","22.45","3","466.9","17%","0%","12/54","6","2","7","15","2",".311","20","16"
"*05rau*","Kahlil Watson","CLE","SS,LF,CF,RF","1460","FA","22","","22.43","3","467.1","29%","0%","12/53","6","2","7","17","2",".317","20","16"
"*05uo0*","Ryan Fitzgerald","LAD","2B,3B,SS","1461","FA","31","","22.4","2","463.5","4%","-1%","12/60","6","2","6","17","1",".294","21","16"
"*05jpu*","Daniel Susac","SF","C","1462","FA","24","NYY Wed 8:05PM","22.4","5","473.6","17%","0%","12/54","4","1","6","16","1",".288","17","16"
"*05yid*","Michael Arroyo","SEA","2B","1463","FA","21","","22.35","1","462.8","59%","0%","12/53","7","0","2","9","2",".359","14","17"
"*04loe*","Carlos Rodriguez","SD","RF","1464","FA","25","","22.31","0","-","3%","0%","13/52","6","0","4","7","2",".328","15","15"
"*02n1q*","Luke Maile","KC","C","1465","FA","35","","22.3","0","-","0%","0%","12/57","5","1","5","20","1",".308","17","16"
"*05a1t*","Jorbit Vivas","NYY","2B,3B","1466","FA","24","@SF Wed 8:05PM","22.29","1","464.8","12%","0%","11/52","7","1","5","10","1",".339","16","16"
"*04ppl*","Owen Miller","CHC","1B","1467","FA","29","","22.28","0","462.4","1%","0%","13/60","6","1","5","13","2",".277","19","17"
"*04eew*","Ryan Vilade","TB","RF","1468","FA","27","","22.28","1","462","4%","0%","12/54","6","1","6","15","2",".311","18","16"
"*05gwr*","Drew Romo","CHW","C","1469","FA","24","","22.18","2","465.8","12%","0%","13/57","4","1","4","14","0",".290","19","15"
"*03qn0*","Garrett Stubbs","PHI","C","1470","FA","32","","22.04","0","-","1%","0%","10/53","6","1","5","16","1",".271","15","16"
"*06f0k*","Rafael Flores","PIT","C,1B","1471","FA","25","","22.01","8","475.5","16%","0%","12/51","6","2","6","14","1",".316","20","16"
"*05t25*","Ronny Simon","PIT","LF","1472","FA","25","","22","0","-","3%","0%","12/51","6","1","5","10","2",".316","17","16"
"*030ud*","Eloy Jimenez","TOR","RF","1473","FA","29","","21.98","3","466.2","7%","0%","14/59","5","1","6","13","0",".297","20","16"
"*05yhe*","Juan Brito","CLE","2B,SS","1474","FA","24","","21.98","6","474.2","34%","+1%","11/50","6","1","6","10","1",".339","17","16"
"*041sd*","Daniel Johnson","MIA","CF,RF","1475","FA","30","","21.97","0","-","1%","0%","12/56","6","2","6","14","2",".279","20","17"
"*04qri*","Braden Shewmake","NYY","SS","1476","FA","28","@SF Wed 8:05PM","21.84","0","-","3%","0%","11/56","6","1","5","12","3",".274","16","15"
"*050vp*","Jose Ramos","NYM","LF,CF,RF","1477","FA","25","","21.83","1","461.9","9%","0%","12/54","6","2","6","21","1",".311","20","17"
"*04ok3*","Michael Toglia","CIN","1B","1478","FA","27","","21.77","6","471.7","18%","-1%","12/59","6","3","6","25","1",".277","23","16"
"*06653*","Rhylan Thomas","SEA","LF,CF","1479","FA","25","","21.73","0","-","2%","0%","13/56","6","0","5","4","2",".283","15","16"
"*05jrw*","Bob Seymour","(N/A)","1B","1480","FA","27","","21.71","0","-","2%","0%","12/53","6","2","7","17","1",".293","20","15"
"*06cqb*","Carson McCusker","(N/A)","RF","1481","FA","27","","21.7","0","-","1%","0%","12/56","6","2","6","20","1",".290","21","16"
"*05gdq*","Cesar Prieto","STL","2B","1482","FA","26","","21.65","0","461.9","6%","0%","13/56","6","1","5","8","1",".283","19","16"
"*03et7*","Joey Meneses","ATH","1B","1483","FA","33","","21.63","0","462","2%","0%","13/59","5","1","6","12","0",".281","20","16"
"*05jr5*","Blake Dunn","CIN","LF,RF","1484","FA","27","","21.62","0","-","4%","0%","11/49","7","1","4","18","2",".345","16","16"
"*05ydz*","Tristan Peters","CHW","LF","1485","FA","25","","21.61","0","-","2%","0%","11/51","6","1","5","11","1",".322","16","16"
"*0514r*","Maverick Handley","BAL","C","1486","FA","27","","21.43","0","-","1%","0%","10/50","4","0","4","15","1",".310","12","15"
"*04n1n*","Logan Davidson","TB","1B,LF","1487","FA","28","","21.42","0","-","3%","0%","11/53","6","1","5","18","1",".323","17","16"
"*04n1p*","Will Banfield","CIN","C","1488","FA","26","","21.39","0","-","1%","0%","11/53","5","1","5","16","0",".263","16","15"
"*05wb2*","Matt Koperniak","STL","LF,RF","1489","FA","28","","21.34","0","-","2%","0%","12/56","5","1","6","12","1",".279","17","16"
"*04z8z*","Yohendrick Pinango","TOR","LF,RF","1490","FA","23","","21.33","0","461.9","17%","0%","11/50","5","1","5","12","1",".328","17","16"
"*041w5*","Jason Delay","BOS","C","1492","FA","30","","21.26","0","-","1%","0%","11/59","4","0","4","12","0",".250","14","17"
"*04y45*","Dominic Fletcher","PIT","RF","1493","FA","28","","21.25","0","462.4","2%","0%","12/55","5","1","5","11","1",".283","17","16"
"*051bu*","Cam Devanney","(N/A)","3B","1494","FA","28","","21.21","0","-","1%","0%","12/55","5","1","5","17","1",".306","18","15"
"*02n1i*","Tomas Nido","DET","C","1495","FA","31","","21.21","0","-","1%","0%","11/59","5","1","4","17","0",".238","16","17"
"*04enw*","Ryan Noda","BAL","1B","1496","FA","29","","21.21","0","-","2%","0%","8/47","7","2","4","21","1",".350","16","15"
"*0512r*","Grant McCray","SF","LF,CF,RF","1497","FA","25","NYY Wed 8:05PM","21.19","1","463.2","6%","0%","11/57","6","1","6","19","2",".270","18","16"
"*04yic*","Matthew Lugo","LAA","LF,CF","1498","FA","24","","21.16","0","-","11%","0%","12/56","6","2","6","19","1",".279","21","17"
"*04eme*","Tristan Gray","MIN","2B,3B","1499","FA","29","","21.15","0","462.2","3%","0%","11/57","6","2","7","18","0",".281","20","16"
"*01tt9*","Anthony Rendon","LAA","3B","1500","FA","35","","21.13","0","-","2%","0%","11/52","6","0","4","9","2",".305","13","16"
"*05y46*","Billy Cook","PIT","CF","1501","FA","27","","21.07","0","-","5%","0%","11/51","5","1","6","14","2",".298","16","16"
"*05jrs*","Tanner Murray","CHW","2B,3B,SS","1502","FA","26","","21.04","2","465.9","4%","0%","12/57","6","1","5","14","1",".274","18","16"
"*031bn*","Brian Navarreto","MIA","C","1503","FA","31","","20.99","0","-","0%","0%","10/54","5","1","6","14","0",".241","15","15"
"*062jx*","Jared Serna","MIA","2B,SS","1504","FA","23","","20.98","2","466.8","13%","0%","11/53","6","0","3","10","2",".300","13","16"
"*04eoj*","Jared Young","NYM","1B,LF","1505","FA","30","","20.96","0","461.8","3%","0%","9/43","5","2","5","12","1",".320","17","13"
"*05aid*","Kenedy Corona","NYY","CF,RF","1506","FA","25","@SF Wed 8:05PM","20.91","0","-","3%","0%","10/52","5","1","4","15","3",".288","15","16"
"*03pj6*","Richie Martin","TEX","3B,SS","1507","FA","31","","20.9","0","-","0%","0%","10/54","6","0","3","15","4",".279","13","16"
"*04ens*","Luis Vazquez","BAL","3B,SS","1508","FA","26","","20.87","0","-","2%","0%","11/55","5","1","4","14","2",".279","16","16"
"*04q63*","Hayden Senger","NYM","C","1509","FA","28","","20.87","0","-","1%","0%","10/56","5","1","5","18","0",".246","14","16"
"*027fx*","Jeimer Candelario","LAA","1B,3B","1510","FA","32","","20.87","3","465.7","8%","0%","11/59","6","2","6","18","0",".262","20","16"
"*04pkp*","Jordyn Adams","MIL","CF","1511","FA","26","","20.86","0","-","4%","0%","11/58","6","1","5","21","3",".266","16","17"
"*02bwt*","Austin Barnes","NYM","C","1512","FA","36","","20.86","0","-","0%","0%","11/51","5","0","3","14","0",".286","12","16"
"*04eh9*","Nelson Velazquez","STL","LF,RF","1513","FA","27","","20.84","1","462.7","2%","0%","10/54","5","2","5","15","1",".267","18","16"
"*04ehx*","Mason McCoy","SD","2B,SS","1514","FA","30","","20.81","0","461.8","1%","0%","10/51","5","1","5","17","3",".281","15","16"
"*02jtq*","Sandy Leon","ATL","C","1515","FA","36","","20.76","0","-","0%","0%","8/59","4","2","4","24","0",".239","15","17"
"*03qkh*","Paul DeJong","NYY","2B,3B,SS","1516","FA","32","@SF Wed 8:05PM","20.61","3","467.3","6%","-1%","11/53","6","2","6","20","1",".263","19","16"
"*05132*","Ryan Kreidler","MIN","CF","1517","FA","28","","20.61","0","-","2%","0%","9/51","5","1","4","17","3",".288","14","16"
"*04y9g*","Will Robertson","BAL","LF","1518","FA","28","","20.55","0","-","1%","0%","10/51","6","2","7","20","0",".293","18","16"
"*041m8*","Carter Kieboom","CLE","1B,3B","1519","FA","28","","20.52","0","462","2%","0%","11/52","5","1","4","12","1",".281","16","15"
"*04ppn*","Connor Kaiser","KC","2B","1520","FA","29","","20.18","0","-","1%","0%","10/56","5","1","4","20","1",".292","15","16"
"*04y79*","Victor Mesa Jr.","TB","CF,RF","1521","FA","24","","19.99","1","462.7","9%","0%","9/38","4","1","5","9","0",".310","14","10"
"*05gwx*","Petey Halpin","CLE","CF","1522","FA","23","","19.95","2","464.2","7%","0%","10/50","5","1","4","15","1",".273","15","16"
"*04q01*","Justin Dean","CHC","CF,RF","1523","FA","29","","19.89","0","-","1%","0%","6/33","4","0","2","10","4",".270","7","8"
"*06f0p*","Cooper Ingle","CLE","C","1524","FA","23","","19.88","10","479.2","36%","0%","7/29","4","1","3","6","0",".353","12","8"
"*06ahe*","Kemp Alderman","MIA","RF","1525","FA","23","","19.86","4","469.1","30%","+1%","8/31","3","1","3","7","1",".303","12","8"
"*02hlw*","Brandon Drury","KC","2B","1526","FA","33","","19.69","0","-","1%","0%","11/55","5","1","4","15","0",".279","16","16"
"*04y9i*","Tyler Callihan","CIN","LF","1527","FA","25","","19.67","1","463.3","8%","0%","7/28","3","1","2","10","2",".323","11","8"
"*04ooy*","Marco Luciano","NYY","LF,CF","1528","FA","24","@SF Wed 8:05PM","19.6","2","464.9","26%","0%","9/52","5","1","4","20","1",".283","14","16"
"*04ni4*","Leo Jimenez","TOR","2B,SS","1529","FA","24","","19.43","0","-","5%","0%","6/27","4","1","3","7","0",".344","10","8"
"*025iy*","Jorge Alfaro","KC","C","1530","FA","32","","19.32","0","462","0%","0%","6/30","3","1","3","12","1",".250","10","7"
"*05g3k*","Yanquiel Fernandez","NYY","RF","1531","FA","23","@SF Wed 8:05PM","19.31","5","470.3","23%","-1%","9/40","3","1","3","11","0",".279","14","11"
"*066cn*","Wade Meckler","LAA","LF,CF","1532","FA","25","","19.07","2","464.9","8%","0%","7/31","3","0","2","7","1",".314","8","8"
"*05rij*","Luca Tresh","KC","C","1533","FA","26","","18.99","0","-","1%","0%","5/25","2","1","3","6","0",".259","9","8"
"*05yhw*","Jack Winkler","HOU","2B","1534","FA","27","","18.97","0","-","0%","0%","5/28","3","0","2","8","2",".281","6","7"
"*03121*","Chad Wallach","ATH","C","1535","FA","34","","18.8","0","-","0%","0%","5/31","2","1","3","10","0",".235","9","8"
"*03125*","Dom Nunez","CLE","C","1536","FA","31","","18.77","0","-","0%","0%","5/33","3","1","2","12","0",".282","9","9"
