"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","+/-","H/AB","R","HR","RBI","SO","SB","OBP","TB","GP"
"*03oh0*","Willson Contreras","BOS","1B","286","FA","33","","66.23","100","187","95%","0%","130/494","73","23","76","147","6",".364","232","132"
"*05gsc*","Jordan Westburg","BAL","2B,3B","287","FA","27","","66.21","100","122.3","98%","0%","132/502","77","23","68","117","5",".317","232","125"
"*04n8z*","Xavier Edwards","MIA","2B,SS","288","FA","26","","66.14","100","176","96%","0%","158/554","73","3","43","81","27",".350","199","139"
"*02w16*","Anthony Santander","TOR","RF","294","FA","31","","65.63","95","431.5","83%","-2%","118/534","73","28","83","138","0",".308","231","139"
"*03d6s*","Matt Chapman","SF","3B","298","FA","32","NYY Wed 8:05PM","65.53","100","114","97%","0%","120/498","81","22","66","146","10",".337","220","137"
"*05t2b*","Daylen Lile","WSH","LF,RF","301","FA","23","","65.47","100","230.4","91%","+1%","143/528","66","13","60","101","14",".323","237","141"
"*05mdt*","Evan Carter","TEX","CF","302","FA","23","","65.46","100","252.9","92%","0%","101/426","71","16","54","131","31",".346","176","119"
"*0596e*","Dylan Crews","WSH","CF,RF","305","FA","23","","65.27","100","154.6","98%","0%","112/473","61","14","51","109","31",".311","180","125"
"*04qnd*","Noelvi Marte","CIN","3B,RF","306","FA","24","","65.26","100","162.1","98%","0%","135/535","70","16","68","139","18",".306","213","134"
"*04aq4*","Adolis Garcia","PHI","RF","307","FA","32","","65.13","100","208.5","91%","0%","116/506","66","24","80","154","13",".288","214","137"
"*051em*","Kerry Carpenter","DET","LF,RF","309","FA","28","","64.96","100","268.1","95%","0%","124/489","68","27","75","126","1",".305","237","132"
"*01uc9*","Nick Castellanos","SD","RF","310","FA","33","","64.9","99","291","81%","0%","145/574","72","21","79","149","4",".302","244","150"
"*047l7*","Luis Robert Jr.","NYM","CF","314","FA","28","","64.87","100","121","97%","0%","101/441","63","20","55","146","35",".298","179","122"
"*031t0*","Gleyber Torres","DET","2B","315","FA","29","","64.84","100","179.7","96%","0%","140/538","79","17","66","113","4",".357","216","146"
"*04071*","Isaac Paredes","HOU","3B","318","FA","27","","64.72","100","163.9","97%","0%","118/479","64","22","74","90","0",".352","207","131"
"*050c3*","Jasson Dominguez","NYY","LF","320","FA","23","@SF Wed 8:05PM","64.62","100","185.9","97%","0%","112/447","71","16","59","140","27",".333","180","120"
"*0512e*","Spencer Steer","CIN","1B,LF","325","FA","28","","64.34","100","225.7","92%","0%","128/526","67","19","81","149","9",".328","218","149"
"*05m49*","Jung Hoo Lee","SF","CF","332","FA","27","NYY Wed 8:05PM","63.96","100","252.2","90%","-1%","150/558","70","8","50","64","10",".327","218","145"
"*01usi*","Marcell Ozuna","PIT","UT","333","FA","35","","63.93","100","249.3","85%","+1%","129/490","68","26","76","135","0",".362","230","134"
"*04azv*","Jake Burger","TEX","1B","335","FA","29","","63.82","100","289.8","78%","+1%","123/507","66","28","78","143","1",".292","233","130"
"*05ras*","Colton Cowser","BAL","LF,CF","338","FA","25","","63.71","100","217.8","93%","0%","108/483","73","22","68","208","23",".311","199","134"
"*04si2*","Andrew Vaughn","MIL","1B","339","FA","27","","63.67","99","283.2","83%","0%","132/521","69","20","78","113","0",".314","222","135"
"*02bu9*","Marcus Semien","NYM","2B","342","FA","35","","63.58","100","187.8","92%","0%","114/492","70","18","62","90","10",".309","186","131"
"*0310z*","J.P. Crawford","SEA","SS","344","FA","31","","63.51","94","322","72%","0%","139/555","80","13","60","118","8",".347","205","153"
"*04y97*","Kyle Stowers","MIA","LF,CF,RF","346","FA","28","","63.3","100","132.8","98%","0%","119/468","64","25","81","153","4",".339","224","128"
"*04hyc*","Ivan Herrera","STL","C","351","FA","25","","62.99","100","203.7","96%","0%","125/448","65","16","67","100","10",".376","194","124"
"*04q2n*","Adley Rutschman","BAL","C","354","FA","28","","62.9","100","262.7","99%","0%","132/529","66","15","65","97","0",".336","205","139"
"*05gwy*","Masyn Winn","STL","SS","355","FA","23","","62.83","99","286.4","89%","0%","139/549","78","13","55","107","10",".312","208","139"
"*060x1*","Wilyer Abreu","BOS","RF","358","FA","26","","62.73","100","229.8","93%","0%","109/437","65","22","73","126","8",".331","202","134"
"*04mra*","Ezequiel Tovar","COL","SS","360","FA","24","","62.6","100","232.2","91%","+1%","159/611","70","20","63","171","7",".293","266","148"
"*03dgq*","Ryan OHearn","PIT","1B,RF","362","FA","32","","62.54","100","311.7","83%","+1%","133/504","70","14","70","97","3",".339","206","145"
"*042sz*","Will Smith","LAD","C","370","FA","30","","62.3","100","193.6","99%","0%","107/399","72","17","69","108","2",".372","181","114"
"*04alp*","Ernie Clement","TOR","1B,2B,3B,SS","373","FA","29","","62.15","100","301.8","84%","+1%","137/498","69","10","55","54","6",".311","201","141"
"*06fzu*","Kazuma Okamoto","TOR","1B,3B","374","FA","29","","62.12","100","229.7","91%","+1%","131/533","53","22","64","105","1",".339","228","156"
"*05t9v*","Jonathan Aranda","TB","1B","375","FA","27","","62.08","100","190.3","96%","0%","127/457","71","21","68","124","0",".375","216","126"
"*04pks*","Matt McLain","CIN","2B","382","FA","26","","61.79","100","206.3","94%","0%","122/514","81","17","59","168","17",".316","199","142"
"*04ru7*","Miguel Vargas","CHW","1B,3B","384","FA","26","","61.62","100","267.2","83%","+1%","116/506","77","15","61","109","6",".324","197","141"
"*041ah*","Josh Lowe","LAA","RF","385","FA","28","","61.54","100","264.3","79%","0%","112/485","62","17","57","145","23",".292","193","132"
"*02yd1*","Jorge Polanco","NYM","2B","386","FA","32","","61.47","100","201","92%","0%","114/462","63","21","73","112","6",".322","200","123"
"*03pzn*","Andres Gimenez","TOR","2B,SS","387","FA","27","","61.38","98","283.7","73%","0%","124/510","60","10","54","92","20",".307","178","141"
"*04qii*","Addison Barger","TOR","3B,RF","392","FA","26","","60.87","100","178.5","96%","0%","117/472","64","19","72","129","5",".328","207","127"
"*03dp8*","Ramon Laureano","SD","LF,CF,RF","395","FA","31","","60.63","100","209.4","86%","0%","119/445","66","20","65","133","7",".333","212","122"
"*0513l*","Brenton Doyle","COL","CF","396","FA","27","","60.62","100","182.1","90%","0%","128/545","63","18","59","178","21",".287","212","141"
"*01cdf*","Giancarlo Stanton","NYY","RF","399","FA","36","@SF Wed 8:05PM","60.5","100","216.7","89%","+1%","105/443","56","32","94","171","0",".310","218","115"
"*04pse*","Brendan Donovan","SEA","2B,LF","400","FA","29","","60.37","100","246.9","93%","0%","135/479","62","11","55","66","4",".353","201","123"
"*04efa*","Daulton Varsho","TOR","CF","405","FA","29","","60.07","100","191.8","87%","0%","99/456","69","22","71","126","5",".285","194","125"
"*05u9q*","Jac Caglianone","KC","1B,RF","407","FA","23","","60.06","100","194.6","97%","0%","115/474","63","20","70","130","4",".330","197","133"
"*05y3u*","Munetaka Murakami","CHW","3B","408","FA","26","","60.04","100","162.6","93%","+1%","105/449","68","24","64","169","9",".361","191","139"
"*01sy3*","Nolan Arenado","ARI","3B","409","FA","34","","59.91","89","383.8","73%","0%","121/469","57","15","61","69","4",".315","189","123"
"*04t3y*","Alejandro Kirk","TOR","C","410","FA","27","","59.82","100","269.9","91%","+1%","121/444","41","12","71","64","1",".345","177","125"
"*05rfu*","Kyle Manzardo","CLE","1B","411","FA","25","","59.72","100","233.4","93%","0%","120/506","56","25","67","142","2",".332","224","143"
"*0513c*","Joey Ortiz","MIL","SS","415","FA","27","","59.55","83","417.6","52%","-1%","119/490","66","9","55","94","15",".305","176","142"
"*02i2q*","Carlos Correa","HOU","3B,SS","418","FA","31","","59.42","100","273.1","91%","0%","142/515","65","16","61","112","0",".343","218","135"
"*04mn5*","Alec Bohm","PHI","1B,3B","419","FA","29","","59.34","100","247.8","91%","0%","135/484","54","12","71","84","2",".331","202","129"
"*04aeb*","Royce Lewis","MIN","3B","420","FA","26","","59.22","100","207.5","95%","0%","102/409","48","19","61","92","13",".302","178","107"
"*026lz*","Josh Bell","MIN","1B","424","FA","33","","59.14","88","373.1","54%","0%","120/478","54","21","65","100","0",".338","207","137"
"*04nky*","Trevor Larnach","MIN","LF,RF","425","FA","28","","59.12","92","329.5","62%","0%","121/495","68","19","65","134","4",".332","204","131"
"*05yj1*","Nolan Schanuel","LAA","1B","430","FA","24","","58.86","94","295.7","83%","0%","129/495","62","11","50","81","6",".353","185","133"
"*04z6k*","Luisangel Acuna","CHW","2B","431","FA","23","","58.82","56","431.1","66%","+1%","109/474","62","5","32","92","36",".281","146","127"
"*051b4*","Jordan Beck","COL","LF","435","FA","24","","58.53","100","233.9","87%","+1%","133/555","57","17","52","198","19",".309","225","149"
"*05u9o*","Sal Stewart","CIN","1B,3B","436","FA","22","","58.51","100","232.2","94%","0%","105/388","57","20","56","100","7",".343","189","109"
"*04llv*","Lenyn Sosa","CHW","1B,2B","437","FA","26","","58.45","99","278.1","78%","0%","138/545","54","21","67","133","2",".286","224","141"
"*03nru*","Jesus Sanchez","TOR","LF,CF,RF","443","FA","28","","58.22","89","356.5","60%","-1%","111/449","59","15","54","114","13",".317","188","135"
"*041qs*","Austin Hays","CHW","LF","447","FA","30","","58.14","85","409.5","53%","0%","114/450","67","16","63","126","8",".309","193","124"
"*05tce*","Connor Norby","MIA","3B","451","FA","25","","58.06","87","378.9","71%","0%","118/466","67","15","54","131","11",".323","191","124"
"*02mzg*","Max Muncy","LAD","3B","452","FA","35","","57.99","100","213.8","90%","+1%","85/356","59","21","70","103","4",".361","166","105"
"*06aw3*","JJ Wetherholt","STL","2B,SS","456","FA","23","","57.85","99","303.8","95%","0%","99/394","53","11","38","75","20",".370","155","118"
"*0648z*","Victor Scott","STL","CF","457","FA","25","","57.77","94","316.6","72%","0%","103/463","57","6","39","119","39",".300","138","135"
"*0648n*","Chase Meidroth","CHW","2B,SS","460","FA","24","","57.66","87","382.2","70%","+1%","123/488","66","7","36","90","16",".361","166","138"
"*04yig*","Brooks Lee","MIN","2B,3B,SS","468","FA","25","","57.23","88","391.1","79%","+1%","117/487","50","15","65","89","3",".299","189","133"
"*041q8*","Brandon Marsh","PHI","LF,CF","471","FA","28","","57.02","91","345.3","57%","0%","115/428","62","13","57","138","15",".347","183","132"
"*03zcy*","Mark Vientos","NYM","3B","472","FA","26","","57.01","98","292.1","86%","0%","113/478","54","23","70","141","1",".301","207","125"
"*04y44*","Josh Jung","TEX","3B","473","FA","28","","57","91","344.9","80%","0%","128/502","60","18","65","144","5",".297","207","131"
"*05rbv*","Samuel Basallo","BAL","C","476","FA","21","","56.86","100","290","96%","0%","96/382","48","22","59","118","3",".333","181","107"
"*03qmh*","Jake Cronenworth","SD","1B,2B,SS","477","FA","32","","56.85","93","313.2","69%","-1%","111/465","62","13","62","100","3",".342","179","137"
