Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Byron Buxton,600,86,32,87,163,266,16,0.319,0.57,0.44,0.52,-0.87,0.67,0.25,-0.0,1.56
Shea Langeliers,600,82,33,88,139,270,7,0.317,0.54,0.45,0.52,-0.74,0.68,0.11,-0.01,1.55
Wyatt Langford,644,88,24,75,152,246,21,0.342,0.59,0.33,0.45,-0.81,0.62,0.33,0.06,1.55
Steven Kwan,665,77,8,60,57,220,17,0.342,0.51,0.12,0.36,-0.31,0.55,0.26,0.06,1.55
Jeremy Peña,651,84,19,72,118,251,18,0.327,0.56,0.25,0.43,-0.63,0.63,0.28,0.02,1.54
Jose Altuve,630,81,23,76,110,246,13,0.328,0.54,0.31,0.45,-0.59,0.62,0.2,0.02,1.54
Jacob Wilson,609,74,11,66,51,239,6,0.347,0.49,0.16,0.4,-0.27,0.6,0.09,0.07,1.53
Alex Bregman,679,80,23,84,95,250,2,0.332,0.53,0.31,0.5,-0.51,0.63,0.04,0.03,1.53
Manny Machado,651,81,26,86,127,262,10,0.32,0.54,0.36,0.51,-0.68,0.66,0.15,-0.0,1.53
Luke Keaschall,600,78,15,65,105,224,21,0.344,0.52,0.2,0.38,-0.56,0.56,0.33,0.07,1.49
George Springer,600,82,23,72,115,230,13,0.332,0.54,0.32,0.43,-0.62,0.58,0.21,0.03,1.49
Willy Adames,679,90,32,89,178,268,12,0.32,0.6,0.44,0.53,-0.95,0.67,0.18,0.0,1.47
Jackson Merrill,630,79,23,82,123,263,9,0.318,0.52,0.32,0.49,-0.66,0.66,0.14,-0.0,1.47
Yandy Díaz,651,78,18,81,96,248,2,0.352,0.51,0.25,0.48,-0.51,0.62,0.03,0.09,1.47
Bo Bichette,658,80,17,78,106,263,7,0.331,0.53,0.24,0.46,-0.57,0.66,0.11,0.03,1.45
Randy Arozarena,679,90,24,75,177,240,26,0.33,0.6,0.32,0.45,-0.95,0.6,0.4,0.03,1.45
Will Smith,600,81,24,79,116,233,4,0.349,0.54,0.32,0.47,-0.62,0.59,0.07,0.08,1.44
Trevor Story,665,86,25,82,181,260,26,0.303,0.57,0.34,0.49,-0.97,0.65,0.41,-0.05,1.43
Matt Olson,686,88,30,95,162,267,1,0.341,0.58,0.41,0.57,-0.87,0.67,0.02,0.06,1.43
Caleb Durbin,609,68,11,61,67,200,22,0.313,0.45,0.15,0.36,-0.36,0.5,0.34,-0.02,1.43
Matt Chapman,672,91,29,82,168,261,10,0.33,0.6,0.39,0.49,-0.9,0.65,0.15,0.03,1.41
Brice Turang,658,81,14,65,139,221,31,0.32,0.53,0.19,0.39,-0.75,0.56,0.49,0.0,1.41
Michael Harris II,600,77,19,72,120,237,19,0.302,0.51,0.26,0.43,-0.64,0.6,0.3,-0.05,1.41
Andy Pages,609,81,25,83,135,250,10,0.308,0.53,0.34,0.49,-0.73,0.63,0.15,-0.03,1.39
Ben Rice,600,78,27,77,125,240,6,0.326,0.52,0.37,0.46,-0.67,0.6,0.09,0.02,1.39
Jurickson Profar,644,80,19,70,105,222,9,0.341,0.53,0.25,0.42,-0.56,0.56,0.14,0.06,1.39
James Wood,644,86,25,83,190,256,17,0.348,0.57,0.34,0.5,-1.02,0.64,0.27,0.08,1.38
Isaac Paredes,600,76,25,76,107,227,3,0.336,0.5,0.34,0.45,-0.58,0.57,0.05,0.04,1.38
Bryson Stott,623,75,13,61,106,212,24,0.317,0.5,0.18,0.36,-0.57,0.53,0.38,-0.01,1.38
Christian Yelich,630,81,21,79,155,232,17,0.342,0.54,0.29,0.47,-0.83,0.58,0.27,0.06,1.38
Luis Robert Jr.,600,81,23,66,168,223,34,0.3,0.54,0.31,0.39,-0.9,0.56,0.53,-0.06,1.37
Luis García Jr.,600,69,17,72,100,229,15,0.306,0.46,0.24,0.43,-0.54,0.57,0.24,-0.04,1.36
Tyler Freeman,600,75,13,63,103,215,18,0.337,0.5,0.18,0.38,-0.55,0.54,0.28,0.05,1.36
Jordan Westburg,616,81,25,79,141,257,8,0.314,0.54,0.35,0.47,-0.76,0.65,0.12,-0.02,1.35
Gleyber Torres,665,79,18,73,115,231,8,0.343,0.52,0.24,0.43,-0.62,0.58,0.13,0.06,1.35
Seiya Suzuki,630,84,25,82,159,247,10,0.333,0.56,0.35,0.49,-0.85,0.62,0.16,0.04,1.35
Teoscar Hernández,600,82,28,86,153,258,7,0.314,0.55,0.38,0.51,-0.82,0.65,0.1,-0.02,1.35
Marcus Semien,644,76,21,74,109,234,9,0.308,0.5,0.29,0.44,-0.58,0.59,0.14,-0.03,1.35
Salvador Perez,626,70,29,98,129,259,0,0.3,0.46,0.4,0.58,-0.69,0.65,0.01,-0.06,1.35
Austin Riley,672,86,29,94,173,278,2,0.323,0.57,0.4,0.56,-0.93,0.7,0.04,0.01,1.34
Ozzie Albies,630,73,18,73,94,229,10,0.304,0.48,0.24,0.43,-0.5,0.57,0.16,-0.04,1.34
Alec Burleson,609,68,19,75,86,230,6,0.317,0.45,0.25,0.44,-0.46,0.58,0.09,-0.01,1.34
Sal Stewart,600,72,23,79,119,238,7,0.327,0.48,0.31,0.47,-0.64,0.6,0.1,0.02,1.34
Xander Bogaerts,609,75,14,64,109,214,19,0.327,0.49,0.19,0.38,-0.59,0.54,0.29,0.02,1.33
Hunter Goodman,600,76,31,94,156,269,3,0.307,0.51,0.42,0.56,-0.84,0.68,0.04,-0.04,1.33
Taylor Ward,658,85,28,85,163,255,5,0.329,0.56,0.39,0.5,-0.87,0.64,0.08,0.03,1.33
Iván Herrera,600,76,19,71,119,225,8,0.349,0.51,0.26,0.42,-0.64,0.56,0.13,0.08,1.33
Cedric Mullins,600,77,20,65,133,215,24,0.308,0.51,0.27,0.39,-0.72,0.54,0.37,-0.03,1.33
William Contreras,610,74,19,78,119,226,6,0.351,0.49,0.26,0.47,-0.64,0.57,0.09,0.08,1.32
Jarren Duran,602,80,15,63,140,228,24,0.326,0.53,0.2,0.37,-0.75,0.57,0.38,0.02,1.32
Jung Hoo Lee,609,73,9,60,68,223,8,0.329,0.48,0.12,0.36,-0.37,0.56,0.13,0.03,1.31
Otto Lopez,609,70,12,61,94,216,19,0.318,0.47,0.16,0.37,-0.5,0.54,0.29,-0.01,1.31
Kerry Carpenter,600,76,28,85,141,253,4,0.311,0.5,0.39,0.5,-0.76,0.64,0.07,-0.03,1.31
Mickey Moniak,600,77,25,82,146,253,11,0.306,0.51,0.34,0.49,-0.78,0.63,0.17,-0.04,1.31
Brandon Nimmo,630,82,22,72,136,240,8,0.333,0.55,0.3,0.43,-0.73,0.6,0.12,0.04,1.3
Kazuma Okamoto,600,75,28,83,131,236,2,0.32,0.5,0.38,0.49,-0.7,0.59,0.03,-0.0,1.3
Xavier Edwards,602,70,3,45,85,192,28,0.337,0.47,0.04,0.27,-0.46,0.48,0.44,0.05,1.3
Lourdes Gurriel Jr.,600,71,19,75,108,230,9,0.316,0.47,0.26,0.45,-0.58,0.58,0.13,-0.01,1.3
Wilyer Abreu,600,74,25,82,147,238,10,0.32,0.49,0.35,0.49,-0.79,0.6,0.15,0.0,1.29
Jorge Polanco,600,73,25,77,124,232,7,0.316,0.48,0.34,0.46,-0.66,0.58,0.1,-0.01,1.29
Riley Greene,651,86,30,89,186,272,4,0.328,0.57,0.41,0.53,-1.0,0.68,0.06,0.02,1.28
Max Muncy,600,79,27,80,140,224,5,0.332,0.53,0.36,0.48,-0.75,0.56,0.07,0.03,1.28
Oneil Cruz,600,83,23,70,177,227,26,0.315,0.55,0.31,0.42,-0.95,0.57,0.4,-0.01,1.28
Nolan Schanuel,616,72,13,59,83,206,6,0.356,0.48,0.18,0.35,-0.44,0.52,0.1,0.1,1.28
Jo Adell,609,77,32,83,168,252,11,0.294,0.51,0.44,0.49,-0.9,0.63,0.17,-0.07,1.27
Ha-Seong Kim,600,76,17,63,120,209,18,0.32,0.5,0.23,0.37,-0.65,0.53,0.29,0.0,1.27
Anthony Santander,600,74,29,83,132,237,2,0.307,0.49,0.4,0.5,-0.71,0.59,0.03,-0.04,1.27
Alejandro Kirk,600,70,17,69,84,215,2,0.334,0.46,0.23,0.41,-0.45,0.54,0.03,0.04,1.26
Tommy Edman,600,75,18,67,106,218,13,0.299,0.5,0.24,0.4,-0.57,0.55,0.2,-0.06,1.26
Jake McCarthy,600,75,14,60,117,214,20,0.319,0.5,0.19,0.36,-0.63,0.54,0.31,-0.0,1.26
Eugenio Suárez,630,80,36,99,188,261,3,0.305,0.53,0.49,0.59,-1.01,0.66,0.05,-0.04,1.25
Brendan Donovan,600,69,12,65,81,212,5,0.343,0.46,0.17,0.39,-0.44,0.53,0.08,0.06,1.25
Mike Trout,600,80,31,84,179,241,4,0.351,0.53,0.43,0.5,-0.96,0.61,0.06,0.09,1.25
Agustín Ramírez,600,71,20,75,122,228,11,0.31,0.47,0.28,0.44,-0.65,0.57,0.17,-0.03,1.25
Tyler Soderstrom,600,77,25,78,145,244,6,0.322,0.51,0.34,0.47,-0.78,0.61,0.09,0.01,1.25
Sal Frelick,600,70,10,59,90,201,17,0.325,0.46,0.14,0.35,-0.48,0.5,0.26,0.01,1.25
José Caballero,600,77,15,55,145,197,34,0.308,0.51,0.21,0.33,-0.78,0.49,0.53,-0.03,1.25
Trent Grisham,600,79,28,74,148,221,7,0.329,0.52,0.38,0.44,-0.79,0.56,0.1,0.02,1.24
Royce Lewis,600,71,22,72,127,228,13,0.299,0.47,0.3,0.43,-0.68,0.57,0.2,-0.06,1.24
Lane Thomas,600,76,19,68,144,219,20,0.31,0.51,0.26,0.4,-0.77,0.55,0.32,-0.03,1.24
Roman Anthony,630,81,19,73,155,235,11,0.351,0.54,0.25,0.43,-0.83,0.59,0.16,0.09,1.23
Daulton Varsho,600,78,29,79,155,237,11,0.291,0.52,0.4,0.47,-0.83,0.59,0.17,-0.08,1.23
Willson Contreras,609,77,24,80,154,233,5,0.342,0.51,0.33,0.48,-0.83,0.59,0.09,0.06,1.23
Nolan Arenado,600,64,17,75,82,221,3,0.308,0.43,0.23,0.45,-0.44,0.55,0.05,-0.03,1.23
Gabriel Moreno,600,72,15,71,109,220,6,0.337,0.48,0.21,0.42,-0.58,0.55,0.1,0.05,1.22
Ian Happ,658,82,21,76,155,232,8,0.336,0.54,0.29,0.46,-0.83,0.58,0.13,0.04,1.22
Evan Carter,600,76,17,62,131,214,18,0.321,0.51,0.23,0.37,-0.7,0.54,0.29,0.0,1.22
Brenton Doyle,600,78,20,69,161,232,22,0.302,0.51,0.28,0.41,-0.86,0.58,0.35,-0.05,1.22
Adley Rutschman,600,71,18,69,97,215,1,0.335,0.47,0.25,0.41,-0.52,0.54,0.02,0.04,1.21
Dansby Swanson,686,83,23,80,178,245,17,0.302,0.55,0.31,0.48,-0.95,0.62,0.26,-0.05,1.21
TJ Friedl,623,73,15,59,103,203,12,0.331,0.48,0.21,0.35,-0.56,0.51,0.19,0.03,1.21
Brandon Lowe,600,74,27,85,153,241,5,0.314,0.49,0.37,0.5,-0.82,0.61,0.07,-0.02,1.2
Willi Castro,600,75,15,64,134,217,17,0.329,0.5,0.21,0.38,-0.72,0.55,0.26,0.02,1.2
Jeff McNeil,600,69,14,63,81,214,3,0.327,0.46,0.19,0.37,-0.43,0.54,0.05,0.02,1.19
Andrés Giménez,600,71,11,53,106,194,25,0.304,0.47,0.15,0.31,-0.57,0.49,0.38,-0.04,1.19
Tyler O'Neill,600,77,26,78,156,231,8,0.32,0.51,0.36,0.46,-0.84,0.58,0.12,-0.0,1.19
Ernie Clement,644,67,10,60,69,215,12,0.285,0.44,0.14,0.36,-0.37,0.54,0.19,-0.1,1.19
Yainer Diaz,600,69,20,75,109,237,3,0.304,0.45,0.27,0.45,-0.59,0.59,0.04,-0.05,1.18
Daylen Lile,600,69,12,64,110,222,14,0.318,0.46,0.17,0.38,-0.59,0.56,0.22,-0.01,1.18
Ceddanne Rafaela,609,72,16,65,134,225,23,0.285,0.48,0.22,0.39,-0.72,0.56,0.35,-0.1,1.18
