Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Trevor Larnach,600,71,19,70,137,217,6,0.324,0.47,0.26,0.41,-0.73,0.54,0.1,0.01,1.06
Rhys Hoskins,600,72,25,77,154,217,5,0.315,0.48,0.34,0.46,-0.83,0.54,0.08,-0.01,1.06
Wenceel Pérez,600,72,16,61,131,211,15,0.301,0.48,0.22,0.36,-0.7,0.53,0.23,-0.05,1.06
Nathan Lukes,600,69,15,64,113,209,7,0.317,0.46,0.2,0.38,-0.6,0.53,0.11,-0.01,1.06
Jesse Winker,600,71,17,65,131,205,9,0.326,0.47,0.23,0.39,-0.7,0.51,0.15,0.02,1.06
Carter Jensen,600,72,18,71,142,218,8,0.317,0.48,0.25,0.42,-0.76,0.55,0.12,-0.01,1.05
J.T. Realmuto,600,72,17,68,142,218,10,0.312,0.48,0.23,0.41,-0.76,0.55,0.16,-0.02,1.04
Victor Caratini,600,67,18,69,118,210,4,0.317,0.45,0.24,0.41,-0.63,0.53,0.06,-0.01,1.04
Lars Nootbaar,600,69,16,63,120,200,7,0.33,0.46,0.22,0.38,-0.65,0.5,0.1,0.03,1.04
Chase DeLauter,600,64,15,66,108,213,7,0.303,0.43,0.21,0.4,-0.58,0.53,0.1,-0.05,1.04
Mike Yastrzemski,600,71,19,70,136,212,6,0.316,0.47,0.26,0.42,-0.73,0.53,0.09,-0.01,1.04
Christian Walker,616,72,27,80,158,229,4,0.294,0.48,0.37,0.47,-0.85,0.57,0.07,-0.07,1.04
Jake Mangum,600,67,9,57,113,202,18,0.307,0.45,0.12,0.34,-0.61,0.51,0.27,-0.04,1.04
Sean Murphy,600,73,23,77,154,219,4,0.316,0.48,0.32,0.46,-0.82,0.55,0.06,-0.01,1.03
Chase Meidroth,600,66,8,50,93,184,12,0.333,0.44,0.11,0.3,-0.5,0.46,0.18,0.04,1.03
Josh Smith,600,69,13,58,117,197,10,0.324,0.46,0.18,0.35,-0.63,0.5,0.16,0.01,1.03
Anthony Volpe,600,71,17,61,143,207,19,0.29,0.47,0.24,0.37,-0.77,0.52,0.29,-0.08,1.03
Addison Barger,600,71,21,73,145,226,6,0.303,0.47,0.29,0.43,-0.78,0.57,0.1,-0.05,1.03
Luisangel Acuña,600,67,10,51,120,194,24,0.296,0.45,0.13,0.31,-0.64,0.49,0.37,-0.07,1.03
Michael Massey,600,65,17,70,119,215,7,0.298,0.43,0.23,0.42,-0.64,0.54,0.11,-0.06,1.03
Rowdy Tellez,600,67,23,77,142,220,4,0.3,0.45,0.32,0.46,-0.76,0.55,0.07,-0.06,1.03
Ryan Jeffers,600,70,19,67,128,212,4,0.322,0.46,0.25,0.4,-0.69,0.53,0.06,0.01,1.02
