Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"David Fry","CLE",52,221,198,43,27,9,1,7,23,26,18,1,60,4,2,0,,2,0,0.218313,0.0805851,0.272449,0.29578,0.29374,0.376445,0.293198,0.670184,0.158131,3.8076,0.273129,-0.112195,-0.10539,22.5499,-3.56293,87.7017,-0.217585,0.00879594,-3.420979782938957,-3.591204199939966,0.0599866,999,,,,,,,210.2,4.042307692,210.2,4.042307692,,,,,,,,,,,,,,,,,,,"David Fry","24934",681807
"LaMonte Wade Jr.","CHW",10,42,35,8,5,1,0,1,5,4,6,0,9,1,0,0,,0,0,0.225034,0.135275,0.225133,0.600866,0.338337,0.364768,0.313109,0.703105,0.139734,3.24249,0.271847,-0.06454,-0.0533258,4.96446,0.00183733,99.9757,-0.117866,-0.0994194,-0.11907073971815407,-0.7494193613529205,0.0590427,999,,,,,,,43.1,4.31,43.1,4.31,,,,,,,,,,,,,,,,,,,"LaMonte Wade Jr.","18126",664774
"Weston Wilson","BAL",5,21,19,4,3,1,0,1,3,2,2,0,6,0,0,0,,1,0,0.222069,0.0925372,0.278989,0.331688,0.297337,0.387319,0.299052,0.684656,0.165251,4.96067,0.278404,-0.00873877,-0.00185573,2.24256,-0.238756,91.9938,-0.0105945,-0.0154887,-0.2087560249492526,0.059511302039027214,0.0586804,999,,,,,,,23.6,4.72,23.6,4.72,,,,,,,,,,,,,,,,,,,"Weston Wilson","19358",642215
"Eduardo Valencia","DET",5,20,18,4,3,1,0,1,2,3,1,0,5,0,0,0,,0,0,0.237147,0.0707503,0.227567,0.310898,0.296796,0.399949,0.302131,0.696745,0.162802,2.90643,0.276425,-0.00254907,-0.0255655,2.16391,-0.175611,92.4198,-0.0281146,-0.0368182,-0.20500999316573143,0.08818181604146957,0.0577713,999,,,,,,,19.7,3.94,19.7,3.94,,,,,,,,,,,,,,,,,,,"Eduardo Valencia","sa3006622",680664
"Christian Encarnacion-Strand","CIN",32,140,130,32,19,7,0,6,16,20,7,0,37,2,1,0,,1,0,0.242963,0.0514136,0.262911,0.195555,0.290727,0.436042,0.312479,0.726769,0.193078,3.26125,0.291921,0.0273494,-0.251655,16.4766,-0.0655001,94.7631,-0.224306,-0.167994,-1.0932579189538956,-3.017994076013565,0.0559222,999,,,,,,,154.8,4.8375,154.8,4.8375,,,,,,,,,,,,,,,,,,,"Christian Encarnacion-Strand","30011",687952
"Joey Wiemer","WSN",28,119,106,22,14,5,0,3,12,12,10,0,36,1,1,0,,3,1,0.207665,0.0859175,0.299231,0.287127,0.284141,0.342064,0.277278,0.626205,0.134399,4.50552,0.277917,-0.0300703,0.0224798,10.6041,-3.45665,75.5497,-0.00759047,0.518349,-3.456057251896709,0.04334908723831177,0.0559088,999,,,,,,,95.8,3.421428571,95.8,3.421428571,,,,,,,,,,,,,,,,,,,"Joey Wiemer","27690",686894
"Shay Whitcomb","HOU",5,21,19,4,3,1,0,1,2,3,1,0,6,0,0,0,,0,0,0.223727,0.0700017,0.296865,0.235803,0.286249,0.393015,0.295122,0.679264,0.169288,4.71827,0.285059,-0.00336054,0.0110605,2.17555,-0.305759,88.4177,0.00769994,0.0261198,-0.27897384110838175,0.101119764149189,0.0557533,999,,,,,,,18.7,3.74,18.7,3.74,,,,,,,,,,,,,,,,,,,"Shay Whitcomb","27789",694376
"Justin Turner",,55,238,209,51,35,10,0,5,25,25,22,0,46,4,3,0,,1,1,0.243872,0.093426,0.193689,0.482351,0.323608,0.370382,0.306756,0.69399,0.12651,2.79377,0.284917,-0.654385,-0.354078,26.9044,-1.21714,95.4338,-1.00846,0.00412816,-2.2929221391677856,-5.245871838182211,0.0528088,999,,,,,,,229.7,4.176363636,229.7,4.176363636,,,,,,,,,,,,,,,,,,,"Justin Turner","5235",457759
"Tanner Murray","CHW",23,98,92,21,14,5,0,2,10,10,5,0,23,1,1,0,,1,0,0.229655,0.0479519,0.236912,0.202404,0.272733,0.345609,0.270929,0.618342,0.115954,3.33017,0.285506,-0.0133802,-0.14661,8.2276,-3.35185,70.9193,-0.159991,0.649306,-3.518939509987831,0.6493064202368259,0.0515008,999,,,,,,,78.8,3.426086956,78.8,3.426086956,,,,,,,,,,,,,,,,,,,"Tanner Murray","sa3016805",695020
"Korey Lee","CHW",24,96,90,20,13,4,0,3,10,10,5,0,26,1,0,0,,1,0,0.220263,0.0553861,0.269221,0.205727,0.267267,0.355618,0.272272,0.622885,0.135355,4.1961,0.278103,0.0265008,-0.0520648,8.16439,-3.17875,71.8446,-0.025564,-0.644673,-3.2112682294100523,1.2303271889686584,0.0511032,999,,,,,,,81.7,3.404166666,81.7,3.404166666,,,,,,,,,,,,,,,,,,,"Korey Lee","25543",686676
