Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brice Turang","MIL",148.818,633.252,566.034,144.24,103.948,23.3637,5.08555,11.8437,77.3755,58.5347,56.6775,1.35506,133.871,2.42734,4.20501,3.90771,10.2554,31.0638,6.30643,0.254826,0.0895023,0.211403,0.423373,0.323107,0.376844,0.3076,0.69995,0.122017,6.58775,0.311871,,2.56269,72.0192,-2.80443,97.056,2.56269,1.51,0.3531029224395752,3.954739809036255,2.59631,52.43000030517578,,,,,,,667.5,4.479865771,667.5,4.479865771,,,,,,,,,,,,,,,,,,,"Brice Turang","22186",668930
"Trevor Story","BOS",135.964,575.096,521.568,129.989,82.1725,23.6076,2.93736,21.2716,74.0229,69.8477,35.6997,1.41309,154.391,6.23308,4.08747,1.03449,7.05715,21.7801,5.90324,0.249228,0.062076,0.268461,0.231229,0.302899,0.428106,0.314864,0.731005,0.178878,6.22314,0.310628,,1.12857,68.7965,0.844509,97.2456,1.12857,-0.03,-0.7384305000305176,6.264629574492574,2.59056,109.81999969482422,,,,,,,641.1,4.713970588,641.1,4.713970588,,,,,,,,,,,,,,,,,,,"Trevor Story","12564",596115
"Freddie Freeman","LAD",143.041,617.431,541.825,146.467,92.0369,31.3516,0.838279,22.2407,83.0251,81.7585,62.9547,7.42992,112.144,6.88758,5.04086,0.723274,11.0444,7.94151,2.8296,0.270323,0.101962,0.181629,0.561375,0.350749,0.454423,0.345449,0.805172,0.1841,3.66396,0.30117,,-0.590094,89.1932,16.2389,122.738,-0.590094,-0.24,16.049194276332855,-11.324585184454918,2.5851,68.81999969482422,,,,,,,794.8,5.558041958,794.8,5.558041958,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Yandy Díaz","TBR",142.192,616.127,550.428,157.368,109.029,24.7883,0.464197,23.0868,76.8916,84.5024,55.9612,1.45656,92.6105,5.40011,3.56837,0.769761,18.2943,2.09499,0.90871,0.285902,0.0908274,0.150311,0.604264,0.355452,0.458454,0.352831,0.813906,0.172552,2.41362,0.30637,,-1.06838,92.6976,19.8975,126.714,-1.06838,-0.08,18.330567598342896,-14.354884222149849,2.57641,135.61000061035156,,,,,,,801.9,5.647183098,801.9,5.647183098,,,,,,,,,,,,,,,,,,,"Yandy Diaz","16578",650490
"Bo Naylor","CLE",120.583,447.546,394.802,83.8605,49.1349,17.1709,1.59364,15.961,49.6675,50.4571,43.7937,1.04596,115.174,3.47131,3.40641,2.07216,5.48912,5.16242,1.56064,0.212411,0.0978529,0.257345,0.38024,0.294351,0.38526,0.296931,0.679611,0.172849,4.31947,0.254235,,-0.236119,47.0221,-5.8589,90.2731,-0.236119,5.49,-5.366935178637505,14.794243812561035,2.54053,643.6599731445312,,,,,,,431.4,3.565289256,431.4,3.565289256,,,,,,,,,,,,,,,,,,,"Bo Naylor","21865",666310
"Jacob Wilson","ATH",138.318,578.367,536.017,156.763,120.808,26.6813,2.27122,7.0025,65.8038,56.5518,29.0723,0.763878,47.1011,6.35378,4.04258,2.88097,16.722,5.19791,1.94395,0.29246,0.0502662,0.0814382,0.617232,0.33396,0.389903,0.316735,0.723863,0.0974433,3.87182,0.308178,,-0.782867,70.0665,1.72797,99.9112,-0.782867,-0.54,-0.8433938771486282,5.718074262142181,2.53542,186.97000122070312,,,,,,,607.6,4.40289855,607.6,4.40289855,,,,,,,,,,,,,,,,,,,"Jacob Wilson","33266",805779
"Riley Greene","DET",148.29,629.522,561.965,139.103,82.8256,26.0339,3.36261,26.8805,80.2437,82.8381,57.9473,1.88754,181.148,4.89999,4.23828,0.471507,10.7388,3.71548,1.12252,0.247529,0.0920498,0.287754,0.31989,0.321039,0.449322,0.331774,0.770361,0.201793,4.06382,0.313316,,-0.665818,83.9503,9.56743,112.84,-0.665818,1.45,8.860784530639648,-5.808984994888306,2.52906,78.25,,,,,,,756.5,5.111486486,756.5,5.111486486,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Ian Happ","CHC",145.759,630.939,544.002,130.005,78.3386,28.6076,1.77721,21.2816,79.9607,74.2906,77.2156,1.55521,148.965,5.2065,3.73444,0.780196,10.6204,8.32659,2.52609,0.238979,0.122382,0.236101,0.518346,0.337101,0.415461,0.329612,0.752562,0.176483,4.19257,0.288017,,-0.420181,83.0316,8.48126,113.172,-0.420181,1.02,9.429700314998627,-5.823819637298584,2.51662,184.88999938964844,,,,,,,729.7,4.997945205,729.7,4.997945205,,,,,,,,,,,,,,,,,,,"Ian Happ","17919",664023
"Kazuma Okamoto","TOR",126.057,522.572,459.991,108.649,60.7116,22.158,0.473313,25.3055,65.7554,73.4844,51.4792,2.41351,113.836,6.9506,3.55423,0.597084,9.42291,1.33127,0.335967,0.236197,0.0985112,0.217837,0.452224,0.320089,0.451465,0.332143,0.771554,0.215268,2.47556,0.256911,,-0.64193,69.8444,8.09844,113.948,-0.64193,0,7.948877155780792,-1.3617268800735474,2.51415,999,,,,,,,625.1,4.961111111,625.1,4.961111111,,,,,,,,,,,,,,,,,,,"Kazuma Okamoto","sa3063134",672960
"Brandon Nimmo","TEX",144.448,622.289,547.461,137.52,87.3179,25.5794,2.95417,21.6685,79.4221,71.9248,60.637,0.864851,133.774,8.73853,4.30111,1.15135,11.9253,7.60227,2.177,0.251196,0.0974418,0.21497,0.45328,0.333091,0.427452,0.331378,0.760543,0.176256,4.48225,0.292318,,-0.399792,82.7858,9.25751,114.223,-0.399792,0.66,10.032065063714981,-6.919061481952667,2.50985,146.07000732421875,,,,,,,744.7,5.171527777,744.7,5.171527777,,,,,,,,,,,,,,,,,,,"Brandon Nimmo","12927",607043
