Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Jonny DeLuca,625,72,19,71,135,227,14,0.311,0.48,0.26,0.42,-0.72,0.57,0.22,-0.05,1.18
Keibert Ruiz,625,67,18,73,104,226,7,0.308,0.44,0.25,0.43,-0.56,0.57,0.1,-0.05,1.18
Mark Vientos,625,74,26,85,156,249,4,0.315,0.49,0.36,0.51,-0.84,0.62,0.06,-0.03,1.17
Luis Campusano,625,75,20,75,135,227,7,0.324,0.5,0.27,0.45,-0.72,0.57,0.12,-0.01,1.17
Jeremiah Jackson,625,73,21,76,141,238,10,0.308,0.49,0.29,0.45,-0.76,0.6,0.15,-0.05,1.17
Kody Clemens,625,76,22,78,144,235,8,0.312,0.5,0.3,0.46,-0.77,0.59,0.12,-0.04,1.17
Andrew Benintendi,625,70,19,73,113,225,5,0.318,0.47,0.26,0.43,-0.61,0.57,0.07,-0.02,1.17
Chase DeLauter,625,74,18,72,120,226,5,0.321,0.49,0.25,0.43,-0.65,0.57,0.09,-0.02,1.16
Dominic Canzone,625,74,23,78,142,238,7,0.31,0.49,0.31,0.46,-0.76,0.6,0.11,-0.05,1.16
Paul Goldschmidt,625,76,20,74,141,231,8,0.325,0.5,0.27,0.44,-0.75,0.58,0.12,-0.01,1.16
Jesse Winker,625,74,19,73,138,221,9,0.334,0.49,0.26,0.43,-0.74,0.55,0.14,0.02,1.16
Amed Rosario,625,73,17,73,129,231,10,0.314,0.48,0.24,0.44,-0.69,0.58,0.16,-0.04,1.16
Dane Myers,625,73,19,75,146,227,14,0.317,0.48,0.26,0.44,-0.79,0.57,0.22,-0.03,1.16
Austin Wells,625,73,24,82,149,234,7,0.305,0.48,0.33,0.49,-0.8,0.59,0.12,-0.06,1.15
Brenton Doyle,625,73,20,74,164,234,21,0.298,0.48,0.27,0.44,-0.88,0.59,0.33,-0.08,1.15
Jake Burger,625,74,28,88,154,252,2,0.294,0.49,0.38,0.52,-0.83,0.63,0.04,-0.09,1.15
Lane Thomas,625,76,19,73,154,222,17,0.31,0.5,0.26,0.43,-0.83,0.56,0.27,-0.05,1.15
Jonathan Aranda,625,79,22,82,159,234,2,0.349,0.52,0.29,0.49,-0.85,0.59,0.03,0.06,1.14
Harrison Bader,625,73,18,70,146,226,16,0.312,0.49,0.25,0.42,-0.79,0.57,0.26,-0.04,1.14
