Name,Type,GS,G,IP,IP_wk,L_wk,SV_wk,HLD_wk,K_wk,QS_wk,ER_wk,WH_wk,ERA,WHIP,WAR
Brusdar Graterol,RP,,47.6,48.3,1.93,0.058,0.007,0.22,1.63,0,0.761,2.343,3.544,1.213,0.47
Phil Maton,RP,,64.1,65.2,2.61,0.115,0.224,0.657,2.79,0,1.082,3.16,3.736,1.212,0.46
Emilio Pagán,RP,,63.6,65.9,2.64,0.141,1.015,0.165,2.88,0,1.203,3.163,4.107,1.2,0.46
Tommy Nance,RP,,54.7,57.8,2.31,0.136,0.014,0.318,2.14,0,0.995,2.921,3.875,1.264,0.46
JoJo Romero,RP,,62.6,63.6,2.55,0.155,0.452,0.888,2.37,0,1.005,3.294,3.554,1.294,0.45
Drew Pomeranz,RP,,56.6,56.6,2.27,0.087,0.068,0.356,2.46,0,0.945,2.763,3.753,1.22,0.45
Steven Okert,RP,,62.5,63.2,2.53,0.095,0.003,0.387,2.8,0,1.132,3.04,4.03,1.203,0.45
Jordan Wicks,RP,,23.0,40.4,1.62,0.086,0.007,0.041,1.44,0,0.704,2.062,3.925,1.276,0.45
Germán Márquez,SP,19.6,,103.9,6.04,0.392,0,0,4.91,0.353,3.195,8.354,4.759,1.383,0.44
Paul Blackburn,RP,,40.8,59.9,2.4,0.125,0.002,0.188,2.05,0,1.146,3.1,4.303,1.294,0.44
Andrew Nardi,RP,,49.4,48.9,1.96,0.068,0.002,0.224,2.34,0,0.818,2.413,3.761,1.233,0.44
Bennett Sousa,RP,,46.8,49.6,1.98,0.061,0.042,0.188,2.14,0,0.807,2.344,3.66,1.182,0.44
Mitchell Parker,SP,9.7,,89.2,7.68,0.466,0,0,6.44,0.463,3.771,10.162,4.419,1.323,0.43
Andrew Kittredge,RP,,63.5,65.4,2.62,0.151,0.285,0.708,2.6,0,1.092,3.09,3.755,1.181,0.43
Blake Treinen,RP,,60.4,60.4,2.42,0.145,0.036,0.554,2.62,0,1.042,3.068,3.878,1.269,0.43
Brant Hurter,RP,,45.0,53.8,2.15,0.092,0.002,0.195,1.93,0,0.851,2.681,3.561,1.247,0.43
Kody Funderburk,RP,,59.9,64.5,2.58,0.092,0.19,0.532,2.45,0,1.094,3.448,3.819,1.337,0.43
Walker Buehler,SP,19.3,,103.2,6.07,0.39,0,0,5.07,0.35,3.132,8.41,4.641,1.384,0.42
Braydon Fisher,RP,,49.0,50.7,2.03,0.069,0.044,0.213,2.27,0,0.858,2.512,3.806,1.238,0.42
Bryan Baker,RP,,61.4,63.5,2.54,0.099,0.039,0.471,2.77,0,1.127,3.117,3.989,1.226,0.42
Brooks Raley,RP,,58.4,58.1,2.32,0.083,0.035,0.592,2.25,0,0.982,2.807,3.805,1.209,0.41
Seranthony Domínguez,RP,,59.3,59.2,2.37,0.148,0.392,0.508,2.69,0,1.006,3.046,3.826,1.287,0.41
Jason Adam,RP,,44.5,46.2,1.85,0.061,0.01,0.516,1.98,0,0.705,2.155,3.438,1.167,0.41
Jonathan Cannon,SP,17.1,,113.5,6.88,0.447,0,0,5.58,0.374,3.553,9.328,4.647,1.356,0.4
Connor Prielipp,RP,,44.2,59.6,2.38,0.129,0.0,0.154,2.26,0,1.071,3.271,4.043,1.372,0.4
Kyle Finnegan,RP,,60.6,63.1,2.53,0.17,0.198,0.538,2.38,0,1.085,3.175,3.868,1.257,0.4
Dennis Santana,RP,,63.9,67.4,2.7,0.129,0.969,0.273,2.49,0,1.202,3.401,4.013,1.262,0.4
Ricky Tiedemann,SP,5.3,,38.8,6.63,0.385,0,0,6.18,0.408,3.088,8.723,4.193,1.316,0.39
Tanner Banks,RP,,58.4,61.6,2.46,0.083,0.003,0.31,2.32,0,1.075,3.047,3.925,1.236,0.39
Justin Topa,RP,,60.7,62.9,2.51,0.142,0.327,0.509,2.09,0,1.124,3.307,4.024,1.315,0.39
Angel Zerpa,RP,,55.7,59.0,2.36,0.088,0.0,0.373,2.2,0,0.953,3.012,3.634,1.275,0.39
Erik Sabrowski,RP,,59.6,61.1,2.44,0.097,0.064,0.596,2.91,0,1.0,3.229,3.683,1.321,0.39
Brendon Little,RP,,53.1,53.1,2.12,0.077,0.003,0.541,2.26,0,0.829,2.925,3.513,1.378,0.39
