Week,Team,ERA,H/AB,HLD,HR,IP,K,K.1,L,OBP,QS,R,RBI,SB,SV,TB,WHIP
3,Skrey's SQUAD,3.96,67/225,2.0,8.0,72.2,49.0,85.0,5.0,0.359,6.0,27.0,32.0,5.0,3.0,109.0,1.16
3,Tardy Plumbers,3.78,56/198,3.0,6.0,69.0,43.0,80.0,2.0,0.373,5.0,25.0,24.0,5.0,0.0,86.0,1.22
3,The Bronx Boofers,3.71,46/236,2.0,8.0,43.2,64.0,47.0,2.0,0.252,3.0,25.0,31.0,5.0,1.0,78.0,1.08
3,The Murk Ma$ter,3.88,60/187,5.0,12.0,60.1,36.0,57.0,5.0,0.369,4.0,34.0,43.0,6.0,5.0,108.0,1.14
3,UNKle Jerik,1.77,53/229,5.0,9.0,45.2,55.0,45.0,2.0,0.282,2.0,26.0,23.0,4.0,4.0,89.0,1.05
3,vves11,2.32,50/211,3.0,10.0,50.1,51.0,50.0,1.0,0.332,3.0,34.0,31.0,5.0,2.0,93.0,1.07
3,wes11,1.9,65/248,3.0,8.0,42.2,52.0,38.0,4.0,0.338,2.0,29.0,32.0,5.0,2.0,102.0,1.17
4,Acuña Matata,2.79,60/204,2.0,4.0,51.2,55.0,41.0,1.0,0.387,4.0,34.0,26.0,11.0,4.0,96.0,1.08
4,Beasts of the East,3.75,70/240,6.0,7.0,50.1,44.0,45.0,4.0,0.362,4.0,33.0,35.0,9.0,2.0,114.0,1.15
4,Cleveland Steamers,3.51,46/201,4.0,9.0,41.0,48.0,47.0,6.0,0.316,5.0,28.0,32.0,6.0,2.0,83.0,1.1
4,Colson Anthony Teel Jr.,4.18,55/217,3.0,5.0,47.1,62.0,54.0,2.0,0.32,2.0,24.0,22.0,4.0,3.0,85.0,1.29
4,Derty's Rolling Crew,4.34,37/213,1.0,4.0,37.1,48.0,34.0,1.0,0.247,2.0,28.0,12.0,4.0,4.0,60.0,1.58
4,My Team Snells Like Shit,2.91,53/207,0.0,8.0,46.1,43.0,38.0,3.0,0.323,3.0,31.0,30.0,0.0,4.0,87.0,1.34
4,North Shore Beefs,3.12,54/201,0.0,3.0,43.1,39.0,47.0,3.0,0.333,2.0,17.0,25.0,9.0,3.0,76.0,1.22
4,Put Up or Shut Up,4.86,64/247,2.0,3.0,50.0,63.0,36.0,4.0,0.325,4.0,32.0,32.0,4.0,0.0,88.0,1.48
4,Shmoulie,4.89,54/235,3.0,10.0,49.2,67.0,51.0,5.0,0.343,1.0,26.0,29.0,5.0,2.0,95.0,1.57
4,Skrey's SQUAD,2.76,54/183,4.0,8.0,75.0,44.0,52.0,2.0,0.356,7.0,33.0,27.0,6.0,3.0,90.0,1.23
4,Tardy Plumbers,5.1,50/221,5.0,7.0,67.0,61.0,61.0,3.0,0.291,2.0,23.0,18.0,6.0,0.0,82.0,1.52
4,The Bronx Boofers,2.21,62/204,2.0,6.0,53.0,38.0,66.0,4.0,0.376,4.0,33.0,32.0,6.0,4.0,98.0,1.04
4,The Murk Ma$ter,3.56,61/198,2.0,7.0,48.0,40.0,40.0,1.0,0.378,3.0,19.0,22.0,10.0,2.0,95.0,1.19
4,UNKle Jerik,3.6,51/193,3.0,7.0,60.0,51.0,52.0,2.0,0.36,5.0,25.0,23.0,3.0,1.0,82.0,1.25
4,vves11,3.25,47/225,1.0,11.0,52.2,65.0,53.0,2.0,0.302,3.0,33.0,34.0,2.0,0.0,91.0,1.14
4,wes11,3.51,55/233,4.0,9.0,51.1,69.0,69.0,3.0,0.297,4.0,27.0,29.0,3.0,2.0,92.0,1.07
5,Acuña Matata,2.65,42/200,6.0,9.0,54.1,59.0,47.0,1.0,0.291,3.0,30.0,17.0,4.0,2.0,77.0,1.14
5,Beasts of the East,4.92,67/236,4.0,5.0,64.0,55.0,64.0,4.0,0.346,3.0,30.0,24.0,11.0,5.0,94.0,1.48
5,Cleveland Steamers,5.66,49/212,1.0,12.0,49.1,55.0,57.0,4.0,0.322,2.0,31.0,39.0,5.0,1.0,93.0,1.56
5,Colson Anthony Teel Jr.,5.11,51/227,1.0,12.0,44.0,47.0,49.0,7.0,0.305,3.0,32.0,39.0,10.0,3.0,97.0,1.36
5,Derty's Rolling Crew,5.84,47/206,2.0,11.0,37.0,37.0,39.0,2.0,0.301,2.0,23.0,28.0,4.0,3.0,89.0,1.62
5,My Team Snells Like Shit,1.99,70/215,2.0,12.0,40.2,39.0,35.0,1.0,0.4,4.0,43.0,57.0,5.0,4.0,123.0,0.84
5,North Shore Beefs,4.46,57/211,3.0,7.0,40.1,49.0,46.0,3.0,0.33,1.0,30.0,28.0,3.0,1.0,88.0,1.71
5,Put Up or Shut Up,2.36,54/190,3.0,12.0,45.2,40.0,43.0,2.0,0.358,4.0,34.0,37.0,2.0,3.0,101.0,0.94
5,Shmoulie,3.97,67/237,2.0,11.0,56.2,57.0,51.0,5.0,0.38,5.0,38.0,29.0,8.0,1.0,117.0,1.2
5,Skrey's SQUAD,4.37,67/257,4.0,11.0,68.0,47.0,59.0,6.0,0.317,4.0,34.0,23.0,7.0,2.0,110.0,1.41
5,Tardy Plumbers,3.31,69/221,5.0,12.0,51.2,47.0,54.0,2.0,0.379,4.0,36.0,41.0,9.0,0.0,117.0,1.05
5,The Bronx Boofers,2.89,57/219,1.0,7.0,46.2,49.0,45.0,2.0,0.34,3.0,29.0,24.0,8.0,3.0,89.0,1.09
5,The Murk Ma$ter,3.78,52/203,3.0,7.0,50.0,47.0,45.0,3.0,0.324,2.0,29.0,21.0,8.0,4.0,86.0,1.28
5,UNKle Jerik,5.63,49/209,1.0,7.0,62.1,52.0,54.0,6.0,0.306,3.0,28.0,34.0,1.0,3.0,79.0,1.6
5,vves11,5.89,49/196,3.0,4.0,36.2,38.0,30.0,3.0,0.297,1.0,19.0,20.0,1.0,0.0,70.0,1.42
5,wes11,4.89,66/231,0.0,15.0,42.1,52.0,39.0,5.0,0.363,3.0,42.0,34.0,3.0,0.0,129.0,1.39
6,Acuña Matata,2.88,68/230,2.0,14.0,40.2,61.0,35.0,3.0,0.382,3.0,47.0,40.0,6.0,1.0,129.0,1.11
6,Beasts of the East,3.86,66/253,2.0,7.0,44.1,62.0,51.0,3.0,0.315,3.0,39.0,39.0,5.0,2.0,103.0,1.44
6,Cleveland Steamers,4.1,59/211,2.0,9.0,41.2,53.0,46.0,3.0,0.339,2.0,31.0,35.0,5.0,2.0,96.0,1.2
6,Colson Anthony Teel Jr.,1.69,54/223,0.0,6.0,64.0,51.0,74.0,1.0,0.316,6.0,27.0,26.0,9.0,3.0,85.0,1.25
6,Derty's Rolling Crew,3.74,56/218,0.0,5.0,45.2,54.0,46.0,2.0,0.313,3.0,24.0,29.0,3.0,4.0,81.0,1.14
6,My Team Snells Like Shit,3.32,49/216,4.0,6.0,57.0,53.0,71.0,3.0,0.299,6.0,32.0,25.0,5.0,1.0,76.0,1.11
6,North Shore Beefs,5.06,48/216,1.0,8.0,58.2,52.0,51.0,7.0,0.266,4.0,24.0,27.0,4.0,0.0,80.0,1.43
6,Put Up or Shut Up,5.81,62/234,2.0,6.0,83.2,59.0,66.0,4.0,0.338,5.0,34.0,34.0,5.0,1.0,98.0,1.4
6,Shmoulie,5.06,47/214,1.0,7.0,69.1,69.0,55.0,6.0,0.324,3.0,30.0,23.0,7.0,3.0,79.0,1.41
6,Skrey's SQUAD,3.06,62/219,5.0,8.0,53.0,46.0,59.0,2.0,0.367,3.0,40.0,35.0,6.0,4.0,105.0,1.15
6,Tardy Plumbers,1.85,56/201,4.0,6.0,48.2,46.0,50.0,0.0,0.408,5.0,30.0,23.0,2.0,0.0,83.0,0.86
6,The Bronx Boofers,4.19,53/241,2.0,7.0,43.0,53.0,49.0,3.0,0.27,3.0,24.0,41.0,5.0,2.0,87.0,1.4
6,The Murk Ma$ter,2.17,57/219,2.0,10.0,49.2,54.0,59.0,3.0,0.328,4.0,35.0,36.0,5.0,3.0,100.0,1.07
6,UNKle Jerik,3.55,52/207,2.0,5.0,50.2,42.0,44.0,4.0,0.323,3.0,29.0,31.0,7.0,2.0,79.0,1.2
6,vves11,3.72,65/224,1.0,8.0,55.2,50.0,53.0,2.0,0.36,4.0,29.0,28.0,9.0,0.0,101.0,1.22
6,wes11,5.3,59/217,3.0,8.0,54.1,53.0,56.0,5.0,0.341,1.0,33.0,25.0,3.0,1.0,92.0,1.49
