Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Drew Romo","CHW",32,125,114,25,17,5,0,3,13,13,8,0,30,1,1,1,,1,1,0.222672,0.0657734,0.239621,0.274489,0.281687,0.357946,0.281006,0.639632,0.135273,3.54916,0.270033,-0.00726094,-0.157466,11.546,-3.26072,77.8614,-0.164727,-0.470985,-3.4345220774412155,1.976545512676239,0.278332,999,,,,,,,94.8,2.9625,94.8,2.9625,,,,,,,,,,,,,,,,,,,"Drew Romo","27763",691011
"Leo Rivas","SEA",19,83,69,14,11,2,0,1,10,7,12,0,22,1,1,1,,3,1,0.208361,0.142092,0.260929,0.544561,0.330471,0.294495,0.289017,0.624966,0.0861337,5.93018,0.28572,0.00911868,0.196136,8.18356,-1.61915,90.1683,0.205255,0.107575,-0.7561044543981552,0.5520192682743073,0.271427,999,,,,,,,66.5,3.5,66.5,3.5,,,,,,,,,,,,,,,,,,,"Leo Rivas","21009",660844
"TJ Rumfield","COL",79,340,304,80,54,16,1,9,38,39,28,0,64,5,2,0,,2,1,0.261371,0.0835877,0.188523,0.443383,0.331321,0.407298,0.323233,0.73862,0.145927,3.24912,0.302331,-0.146382,-0.541468,42.9638,2.80838,93.3574,-0.687849,0.915682,-3.3634053468704224,-5.302373766899109,0.270971,999,,,,,,,380.7,4.818987341,380.7,4.818987341,,,,,,,,,,,,,,,,,,,"TJ Rumfield","29805",681198
"Keibert Ruiz","WSN",54,215,200,49,33,10,0,6,21,25,10,0,26,2,2,0,,1,0,0.244794,0.0472045,0.118948,0.39685,0.287543,0.380516,0.290856,0.668059,0.135723,2.62464,0.254567,-0.253515,-0.240429,21.54,-3.87705,84.851,-0.493943,-2.32241,-4.356190711259842,1.8789751529693604,0.267653,720.3499755859375,,,,,,,197.7,3.661111111,197.7,3.661111111,,,,,,,,,,,,,,,,,,,"Keibert Ruiz","19610",660688
"Sam Haggerty","TEX",39,167,149,36,25,6,2,2,20,16,14,0,38,2,1,1,,8,2,0.240158,0.0854158,0.228765,0.373378,0.313563,0.350758,0.294079,0.664321,0.1106,6.92393,0.306436,-0.0221506,0.62874,17.1911,-2.57769,88.5292,0.60659,0.138049,-1.6553611159324646,-1.5051605850458145,0.266125,999,,,,,,,157.8,4.046153846,157.8,4.046153846,,,,,,,,,,,,,,,,,,,"Sam Haggerty","18054",664059
"Starling Marte","KCR",44,188,171,46,33,9,1,4,21,19,12,0,41,4,1,1,,5,1,0.268328,0.0635621,0.215243,0.295305,0.327327,0.390774,0.315214,0.7181,0.122446,5.14222,0.329963,-0.0880108,0.131334,22.5698,0.329929,98.6663,0.0433228,0.0255059,-0.2525572404265404,-3.7090619523078203,0.257849,999,,,,,,,210.7,4.788636363,210.7,4.788636363,,,,,,,,,,,,,,,,,,,"Starling Marte","9241",516782
"Graham Pauley","MIA",31,136,122,27,17,6,0,3,15,15,12,0,28,1,1,1,,2,1,0.223007,0.0848689,0.206561,0.410866,0.295121,0.366977,0.290915,0.662098,0.14397,4.47988,0.26062,-0.0304193,-0.0457047,13.6186,-2.4436,83.5301,-0.076124,0.481484,-2.729670137166977,0.7055584788322449,0.255943,999,,,,,,,114.8,3.703225806,114.8,3.703225806,,,,,,,,,,,,,,,,,,,"Graham Pauley","31363",688363
"Spencer Jones","NYY",32,140,126,29,16,6,1,6,18,19,11,0,53,1,1,0,,4,1,0.225705,0.0803217,0.379622,0.211583,0.292535,0.426061,0.309912,0.718596,0.200356,5.7242,0.32867,-0.0117456,0.165897,16.1848,-0.357291,99.1587,0.154151,-0.54591,0.015324488282203674,-2.3422064781188965,0.255199,999,,,,,,,156.7,4.896875,156.7,4.896875,,,,,,,,,,,,,,,,,,,"Spencer Jones","31532",682987
"Mitch Garver","SEA",24,95,81,16,10,3,0,3,10,10,12,0,28,1,1,0,,0,0,0.199897,0.122737,0.290973,0.421817,0.305939,0.345847,0.291389,0.651785,0.14595,3.55358,0.26046,-0.150956,-0.085148,9.53521,-1.66789,91.8021,-0.236104,-0.925555,-1.1522264927625656,0.9262966513633728,0.252998,999,,,,,,,84.5,3.520833333,84.5,3.520833333,,,,,,,,,,,,,,,,,,,"Mitch Garver","15161",641598
"Harry Ford","WSN",24,98,84,18,13,4,0,2,10,9,11,0,24,1,1,0,,2,1,0.219069,0.1133,0.246838,0.459004,0.318132,0.33637,0.294883,0.654503,0.117302,4.04263,0.281126,0,-0.0590733,10.1176,-1.44364,87.6094,-0.0590733,0.00960709,-1.4959829896688461,0.7565206969156861,0.252917,725.52001953125,,,,,,,84.2,3.508333333,84.2,3.508333333,,,,,,,,,,,,,,,,,,,"Harry Ford","29958",695670
