Week,Category,Skrey's SQUAD,Shmoulie,My Team Snells Like Shit,The Bronx Boofers,The Murk Ma$ter,UNKle Jerik,vves11,wes11,Acuña Matata,Beasts of the East,Colson Anthony Teel Jr.,Cleveland Steamers,Derty's Rolling Crew,Put Up or Shut Up,North Shore Beefs,Tardy Plumbers
3,K_P,85.0,42.0,56.0,47.0,57.0,45.0,50.0,38.0,65.0,68.0,41.0,39.0,58.0,63.0,56.0,80.0
3,HLD,2.0,4.0,2.0,2.0,5.0,5.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,4.0,5.0,3.0
3,IP,72.2,39.0,65.2,43.2,60.1,45.2,50.1,42.2,65.2,61.2,33.0,46.0,51.1,59.1,55.1,69.0
3,H/AB,67/225,57/213,61/219,46/236,60/187,53/229,50/211,65/248,53/211,56/225,55/221,46/204,44/231,59/210,49/212,56/198
3,QS,6.0,3.0,6.0,3.0,4.0,2.0,3.0,2.0,1.0,4.0,0.0,2.0,2.0,3.0,2.0,5.0
4,OBP,0.356,0.343,0.323,0.376,0.378,0.36,0.302,0.297,0.387,0.362,0.32,0.316,0.247,0.325,0.333,0.291
4,R,33.0,26.0,31.0,33.0,19.0,25.0,33.0,27.0,34.0,33.0,24.0,28.0,28.0,32.0,17.0,23.0
4,HR,8.0,10.0,8.0,6.0,7.0,7.0,11.0,9.0,4.0,7.0,5.0,9.0,4.0,3.0,3.0,7.0
4,RBI,27.0,29.0,30.0,32.0,22.0,23.0,34.0,29.0,26.0,35.0,22.0,32.0,12.0,32.0,25.0,18.0
4,SB,6.0,5.0,0.0,6.0,10.0,3.0,2.0,3.0,11.0,9.0,4.0,6.0,4.0,4.0,9.0,6.0
4,K_B,44.0,67.0,43.0,38.0,40.0,51.0,65.0,69.0,55.0,44.0,62.0,48.0,48.0,63.0,39.0,61.0
4,TB,90.0,95.0,87.0,98.0,95.0,82.0,91.0,92.0,96.0,114.0,85.0,83.0,60.0,88.0,76.0,82.0
4,ERA,2.76,4.89,2.91,2.21,3.56,3.6,3.25,3.51,2.79,3.75,4.18,3.51,4.34,4.86,3.12,5.1
4,WHIP,1.23,1.57,1.34,1.04,1.19,1.25,1.14,1.07,1.08,1.15,1.29,1.1,1.58,1.48,1.22,1.52
4,L,2.0,5.0,3.0,4.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,6.0,1.0,4.0,3.0,3.0
4,SV,3.0,2.0,4.0,4.0,2.0,1.0,0.0,2.0,4.0,2.0,3.0,2.0,4.0,0.0,3.0,0.0
4,K_P,52.0,51.0,38.0,66.0,40.0,52.0,53.0,69.0,41.0,45.0,54.0,47.0,34.0,36.0,47.0,61.0
4,HLD,4.0,3.0,0.0,2.0,2.0,3.0,1.0,4.0,2.0,6.0,3.0,4.0,1.0,2.0,0.0,5.0
4,IP,75.0,49.2,46.1,53.0,48.0,60.0,52.2,51.1,51.2,50.1,47.1,41.0,37.1,50.0,43.1,67.0
4,H/AB,54/183,54/235,53/207,62/204,61/198,51/193,47/225,55/233,60/204,70/240,55/217,46/201,37/213,64/247,54/201,50/221
4,QS,7.0,1.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,2.0,2.0
5,OBP,0.317,0.38,0.4,0.34,0.324,0.306,0.297,0.363,0.291,0.346,0.305,0.322,0.301,0.358,0.33,0.379
